epoch,train_loss,val_f1,val_precision,val_recall,lr
1,1.879548,0.015152,0.008264,0.090909,1.00e-04
2,1.237065,0.015152,0.008264,0.090909,2.00e-04
3,1.066636,0.015152,0.008264,0.090909,3.00e-04
4,0.993003,0.015152,0.008264,0.090909,4.00e-04
5,0.961716,0.015152,0.008264,0.090909,5.00e-04
6,0.922181,0.015152,0.008264,0.090909,6.00e-04
7,0.892225,0.067715,0.046706,0.155,7.00e-04
8,0.876109,0.085774,0.124578,0.14,8.00e-04
9,0.865176,0.507501,0.754241,0.557273,9.00e-04
10,0.833198,0.476482,0.484242,0.560455,1.00e-03
11,0.798346,0.533804,0.605662,0.615909,1.00e-03
12,0.775738,0.44116,0.512241,0.523636,1.00e-03
13,0.781239,0.475202,0.53498,0.550909,9.99e-04
14,0.752056,0.298605,0.546265,0.345909,9.98e-04
15,0.754489,0.718317,0.756503,0.715,9.97e-04
16,0.747356,0.125287,0.267236,0.192273,9.95e-04
17,0.739289,0.1554,0.202533,0.213182,9.93e-04
18,0.735351,0.647321,0.782253,0.707273,9.91e-04
19,0.737775,0.779108,0.816331,0.792273,9.88e-04
20,0.731136,0.355686,0.62805,0.365909,9.84e-04
21,0.720154,0.46387,0.621231,0.466818,9.81e-04
22,0.72121,0.779933,0.85229,0.801818,9.77e-04
23,0.719343,0.596319,0.762693,0.635909,9.72e-04
24,0.710706,0.3865,0.625185,0.406364,9.68e-04
25,0.713978,0.247291,0.336754,0.295455,9.63e-04
26,0.713339,0.105138,0.09563,0.180909,9.57e-04
27,0.710355,0.105153,0.095639,0.180909,9.51e-04
28,0.707933,0.683065,0.823093,0.702273,9.45e-04
29,0.717787,0.233237,0.306653,0.287273,9.39e-04
30,0.714827,0.199268,0.448756,0.236364,9.32e-04
31,0.694139,0.52511,0.637317,0.585909,9.25e-04
32,0.714655,0.722629,0.741244,0.750909,9.17e-04
33,0.703165,0.105168,0.095648,0.180909,9.09e-04
34,0.691867,0.66511,0.718864,0.675455,9.01e-04
35,0.695094,0.793628,0.854602,0.814545,8.93e-04
36,0.688203,0.546069,0.621567,0.615,8.84e-04
37,0.699006,0.499265,0.706576,0.502727,8.75e-04
38,0.697213,0.319194,0.591415,0.391364,8.66e-04
39,0.691359,0.102825,0.095423,0.176364,8.56e-04
40,0.695522,0.661207,0.71799,0.673182,8.46e-04
41,0.683821,0.11069,0.277577,0.183636,8.36e-04
42,0.68396,0.114922,0.186725,0.185909,8.26e-04
43,0.69135,0.220411,0.529938,0.253636,8.15e-04
44,0.683775,0.10513,0.095625,0.180909,8.04e-04
