epoch,train_loss,val_f1,val_precision,val_recall,lr
1,1.32048,0.015152,0.008264,0.090909,1.00e-03
2,0.790385,0.015152,0.008264,0.090909,1.00e-03
3,0.722235,0.015152,0.008264,0.090909,1.00e-03
4,0.675706,0.015152,0.008264,0.090909,1.00e-03
5,0.62943,0.015152,0.008264,0.090909,1.00e-03
6,0.619725,0.015152,0.008264,0.090909,1.00e-03
7,0.58922,0.015183,0.008283,0.090909,1.00e-03
8,0.517793,0.016417,0.009023,0.090909,1.00e-03
9,0.54719,0.078448,0.055709,0.164545,1.00e-03
10,0.542879,0.146284,0.12776,0.255909,1.00e-03
11,0.493422,0.24439,0.353404,0.330909,1.00e-03
12,0.473535,0.390711,0.427317,0.467727,1.00e-03
13,0.481455,0.75602,0.809454,0.775,1.00e-03
14,0.528003,0.519178,0.600465,0.600455,1.00e-03
15,0.496106,0.748428,0.846474,0.773182,1.00e-03
16,0.473397,0.789757,0.858119,0.809545,1.00e-03
17,0.453551,0.609645,0.648102,0.663636,1.00e-03
18,0.438061,0.918702,0.924371,0.920909,1.00e-03
19,0.434266,0.901881,0.914677,0.905455,1.00e-03
20,0.456823,0.701563,0.776707,0.746364,1.00e-03
21,0.492202,0.446809,0.602134,0.497727,1.00e-03
22,0.471178,0.841848,0.871399,0.848182,1.00e-03
23,0.474867,0.835645,0.888753,0.849545,1.00e-03
24,0.443747,0.129698,0.366412,0.192727,1.00e-03
25,0.443802,0.855724,0.885789,0.863182,1.00e-03
26,0.431595,0.818764,0.880339,0.84,1.00e-03
27,0.422346,0.793295,0.825665,0.824091,1.00e-03
28,0.413934,0.795335,0.77991,0.825455,1.00e-03
29,0.413277,0.859829,0.890043,0.867273,1.00e-03
30,0.441013,0.800536,0.84674,0.808636,1.00e-03
31,0.475353,0.495072,0.705844,0.507273,1.00e-03
32,0.457008,0.125607,0.355233,0.190909,1.00e-03
33,0.475004,0.106258,0.186391,0.181364,1.00e-03
34,0.442109,0.843863,0.873398,0.848182,1.00e-03
35,0.435834,0.803511,0.860536,0.824545,1.00e-03
36,0.42758,0.808052,0.885953,0.835455,1.00e-03
37,0.42306,0.780833,0.839073,0.812727,1.00e-03
38,0.415572,0.656883,0.679899,0.693636,1.00e-03
39,0.413916,0.692076,0.693548,0.72,1.00e-03
40,0.406151,0.912052,0.914214,0.912727,1.00e-03
41,0.40282,0.842173,0.882329,0.853182,1.00e-03
42,0.398901,0.925255,0.926514,0.925455,1.00e-03
43,0.398776,0.892167,0.903065,0.893636,1.00e-03
44,0.397386,0.915158,0.917559,0.915455,1.00e-03
45,0.430306,0.490927,0.675665,0.481818,1.00e-03
46,0.452731,0.066238,0.095082,0.125,1.00e-03
47,0.434038,0.457779,0.633466,0.517273,1.00e-03
48,0.441271,0.106053,0.141094,0.181364,1.00e-03
49,0.428073,0.794904,0.866346,0.813636,1.00e-03
50,0.429039,0.542993,0.704216,0.513636,1.00e-03
51,0.41717,0.53547,0.579397,0.619091,1.00e-03
52,0.41715,0.104459,0.095572,0.179545,1.00e-03
53,0.410318,0.797381,0.8628,0.815455,1.00e-03
54,0.399674,0.687319,0.711934,0.727273,1.00e-03
55,0.398832,0.90316,0.906933,0.904091,1.00e-03
56,0.393976,0.797798,0.852992,0.815,1.00e-03
57,0.393189,0.906274,0.908888,0.907273,1.00e-03
58,0.390911,0.885929,0.898894,0.887727,1.00e-03
59,0.387257,0.885298,0.899928,0.888182,1.00e-03
60,0.382081,0.808048,0.845542,0.831364,1.00e-03
61,0.377657,0.890442,0.906717,0.894545,1.00e-03
62,0.379049,0.915579,0.920492,0.916818,1.00e-03
63,0.373625,0.909387,0.915323,0.910909,1.00e-03
64,0.372032,0.892474,0.904106,0.895,1.00e-03
65,0.36837,0.918054,0.919045,0.918182,1.00e-03
66,0.367579,0.918005,0.919191,0.918182,1.00e-03
67,0.403811,0.691421,0.717308,0.738182,1.00e-03
68,0.439243,0.770544,0.836368,0.788636,1.00e-03
69,0.418228,0.607513,0.713764,0.651364,1.00e-03
70,0.417412,0.106048,0.125942,0.181364,1.00e-03
71,0.403013,0.104228,0.09555,0.179091,1.00e-03
72,0.40709,0.657952,0.665309,0.695455,1.00e-03
73,0.394255,0.282226,0.620471,0.279545,1.00e-03
74,0.404187,0.752954,0.838504,0.775,1.00e-03
75,0.394756,0.724742,0.720697,0.751364,1.00e-03
76,0.391059,0.839402,0.866427,0.845455,1.00e-03
77,0.380213,0.269982,0.602952,0.283636,1.00e-03
78,0.377439,0.714934,0.743235,0.728182,1.00e-03
79,0.38212,0.781357,0.854974,0.807273,1.00e-03
80,0.381061,0.286335,0.598663,0.3,1.00e-03
