epoch,train_loss,val_f1,val_precision,val_recall,lr
1,1.308094,0.015152,0.008264,0.090909,1.00e-03
2,0.830775,0.015152,0.008264,0.090909,1.00e-03
3,0.726335,0.015152,0.008264,0.090909,1.00e-03
4,0.66568,0.015152,0.008264,0.090909,1.00e-03
5,0.625635,0.015152,0.008264,0.090909,1.00e-03
6,0.614249,0.015152,0.008264,0.090909,1.00e-03
7,0.59409,0.016957,0.044647,0.091818,1.00e-03
8,0.520743,0.075577,0.053505,0.175,1.00e-03
9,0.541768,0.122319,0.135795,0.159545,1.00e-03
10,0.535568,0.253091,0.329184,0.315455,1.00e-03
11,0.506823,0.581478,0.626056,0.622273,1.00e-03
12,0.465787,0.635361,0.66963,0.674091,1.00e-03
13,0.457814,0.792468,0.858267,0.821364,1.00e-03
14,0.519232,0.49836,0.492006,0.586818,1.00e-03
15,0.508105,0.74221,0.755775,0.777273,1.00e-03
16,0.475425,0.618325,0.63791,0.661364,1.00e-03
17,0.457666,0.814225,0.882163,0.835455,1.00e-03
18,0.439399,0.818955,0.876674,0.842727,1.00e-03
19,0.434627,0.848993,0.891176,0.86,1.00e-03
20,0.470794,0.512956,0.548202,0.585,1.00e-03
21,0.483297,0.106057,0.186548,0.181364,1.00e-03
22,0.472963,0.266469,0.554469,0.311364,1.00e-03
23,0.458272,0.590687,0.633191,0.649091,1.00e-03
24,0.450707,0.209986,0.562534,0.25,1.00e-03
25,0.433725,0.81251,0.879795,0.838636,1.00e-03
26,0.424606,0.737337,0.829123,0.767727,1.00e-03
27,0.42133,0.823606,0.880636,0.84,1.00e-03
28,0.415391,0.85419,0.891629,0.862727,1.00e-03
29,0.413605,0.900731,0.913751,0.903636,1.00e-03
30,0.457144,0.372359,0.455944,0.445909,1.00e-03
31,0.468481,0.416522,0.5419,0.499545,1.00e-03
32,0.463586,0.793044,0.833296,0.804091,1.00e-03
33,0.455984,0.620255,0.715963,0.621818,1.00e-03
34,0.441441,0.542677,0.573799,0.621364,1.00e-03
35,0.434694,0.430621,0.662087,0.434545,1.00e-03
36,0.42703,0.362679,0.657777,0.350455,1.00e-03
37,0.41547,0.649989,0.647582,0.691364,1.00e-03
38,0.409563,0.859503,0.888812,0.868182,1.00e-03
39,0.406181,0.770996,0.773874,0.794545,1.00e-03
40,0.405517,0.73408,0.717584,0.762273,1.00e-03
41,0.400215,0.90117,0.913157,0.903182,1.00e-03
42,0.398297,0.925006,0.930902,0.926364,1.00e-03
43,0.397075,0.902712,0.911484,0.904091,1.00e-03
44,0.397341,0.918551,0.923149,0.919545,1.00e-03
45,0.425487,0.49616,0.522587,0.580909,1.00e-03
46,0.438454,0.716716,0.868592,0.759091,1.00e-03
47,0.42075,0.162354,0.485496,0.189545,1.00e-03
48,0.421742,0.694298,0.848978,0.730909,1.00e-03
49,0.433393,0.278458,0.642308,0.310909,1.00e-03
50,0.418324,0.695817,0.733046,0.708182,1.00e-03
51,0.424441,0.815387,0.805329,0.845455,1.00e-03
52,0.422122,0.649441,0.729369,0.64,1.00e-03
53,0.406605,0.638657,0.710697,0.652273,1.00e-03
54,0.404807,0.656356,0.724315,0.651818,1.00e-03
55,0.400828,0.857925,0.877987,0.859545,1.00e-03
56,0.396337,0.400607,0.655099,0.384545,1.00e-03
57,0.395039,0.242797,0.609403,0.261818,1.00e-03
58,0.389979,0.879951,0.897052,0.882273,1.00e-03
59,0.389491,0.800598,0.877519,0.825909,1.00e-03
60,0.389988,0.676529,0.678415,0.707273,1.00e-03
61,0.385991,0.796843,0.879205,0.827273,1.00e-03
62,0.384779,0.849446,0.886816,0.859091,1.00e-03
63,0.384706,0.82489,0.886023,0.845455,1.00e-03
64,0.382936,0.896994,0.905607,0.898182,1.00e-03
65,0.385442,0.914605,0.918657,0.915455,1.00e-03
66,0.381931,0.921139,0.92406,0.921818,1.00e-03
67,0.387889,0.443812,0.672909,0.430455,1.00e-03
68,0.414277,0.702288,0.842396,0.753182,1.00e-03
69,0.4272,0.248208,0.313063,0.303182,1.00e-03
70,0.443747,0.779611,0.846533,0.798182,1.00e-03
71,0.412037,0.533963,0.611611,0.603182,1.00e-03
72,0.409001,0.46411,0.595508,0.533182,1.00e-03
73,0.414176,0.544025,0.663699,0.567727,1.00e-03
74,0.41467,0.480298,0.539286,0.557727,1.00e-03
75,0.409672,0.722334,0.751044,0.744091,1.00e-03
76,0.408341,0.104967,0.095247,0.180909,1.00e-03
77,0.395234,0.635071,0.670132,0.665,1.00e-03
78,0.389208,0.748965,0.857261,0.777273,1.00e-03
79,0.390599,0.185604,0.61821,0.222273,1.00e-03
80,0.390159,0.612899,0.695309,0.614545,1.00e-03
