epoch,train_loss,val_f1,val_precision,val_recall,lr
1,1.863085,0.015152,0.008264,0.090909,1.00e-04
2,1.187138,0.015152,0.008264,0.090909,2.00e-04
3,1.027407,0.015152,0.008264,0.090909,3.00e-04
4,0.96592,0.015152,0.008264,0.090909,4.00e-04
5,0.890722,0.015152,0.008264,0.090909,5.00e-04
6,0.847007,0.016026,0.008788,0.090909,6.00e-04
7,0.805884,0.022882,0.013078,0.094091,7.00e-04
8,0.791159,0.065677,0.063503,0.182273,8.00e-04
9,0.813967,0.300274,0.368475,0.384545,9.00e-04
10,0.774378,0.609504,0.724529,0.667727,1.00e-03
11,0.783747,0.451168,0.530004,0.507727,1.00e-03
12,0.75291,0.626551,0.738335,0.654545,1.00e-03
13,0.727089,0.853493,0.864643,0.858182,9.99e-04
14,0.714501,0.855087,0.903029,0.872727,9.98e-04
15,0.711447,0.532803,0.769756,0.61,9.97e-04
16,0.712402,0.754371,0.838873,0.779545,9.95e-04
17,0.691855,0.78032,0.850739,0.797727,9.93e-04
18,0.692635,0.703862,0.829285,0.752727,9.91e-04
19,0.69318,0.531809,0.667389,0.598636,9.88e-04
20,0.694804,0.726975,0.82563,0.763182,9.84e-04
21,0.701296,0.578964,0.701592,0.638636,9.81e-04
22,0.683411,0.643353,0.751574,0.690909,9.77e-04
23,0.68408,0.834177,0.837578,0.837273,9.72e-04
24,0.677756,0.840645,0.875524,0.861364,9.68e-04
25,0.675756,0.357621,0.606263,0.370455,9.63e-04
26,0.679352,0.650105,0.749263,0.690455,9.57e-04
27,0.671477,0.599214,0.751392,0.64,9.51e-04
28,0.680269,0.594162,0.716801,0.644091,9.45e-04
29,0.67894,0.841291,0.864986,0.846364,9.39e-04
30,0.678907,0.626505,0.659962,0.649091,9.32e-04
31,0.659739,0.55809,0.64294,0.587727,9.25e-04
32,0.671554,0.346713,0.534629,0.346364,9.17e-04
33,0.67795,0.768183,0.843099,0.781818,9.09e-04
34,0.658815,0.402254,0.602782,0.441364,9.01e-04
35,0.674723,0.870221,0.883369,0.876364,8.93e-04
36,0.662309,0.323896,0.61567,0.351364,8.84e-04
37,0.654162,0.872096,0.898059,0.882273,8.75e-04
38,0.654547,0.634884,0.729305,0.681818,8.66e-04
39,0.654236,0.725882,0.815157,0.760455,8.56e-04
40,0.654443,0.682017,0.792349,0.721818,8.46e-04
41,0.652469,0.528235,0.630944,0.540455,8.36e-04
42,0.652099,0.717883,0.832659,0.759091,8.26e-04
43,0.655574,0.386544,0.6195,0.397273,8.15e-04
44,0.655824,0.728393,0.817028,0.76,8.04e-04
45,0.650105,0.84782,0.876863,0.858182,7.93e-04
46,0.644931,0.732052,0.745953,0.767727,7.82e-04
47,0.651831,0.725963,0.838904,0.765455,7.70e-04
48,0.650442,0.715895,0.806679,0.745909,7.59e-04
49,0.643884,0.500379,0.635332,0.56,7.47e-04
50,0.645188,0.595101,0.689202,0.643636,7.35e-04
51,0.657454,0.157129,0.283096,0.207273,7.22e-04
52,0.646411,0.593651,0.651232,0.6,7.10e-04
53,0.642056,0.267028,0.586745,0.280909,6.97e-04
54,0.644623,0.854615,0.885248,0.862727,6.85e-04
55,0.65062,0.591036,0.719639,0.649091,6.72e-04
56,0.646958,0.687057,0.798116,0.703182,6.59e-04
57,0.643864,0.45501,0.640477,0.543636,6.46e-04
58,0.646109,0.68166,0.706283,0.714091,6.33e-04
59,0.644758,0.554551,0.690707,0.629545,6.19e-04
60,0.641366,0.792685,0.853837,0.813636,6.06e-04
61,0.639473,0.74325,0.775879,0.767727,5.93e-04
62,0.634213,0.779019,0.839454,0.798636,5.79e-04
63,0.63213,0.244267,0.486467,0.198636,5.66e-04
64,0.626612,0.743195,0.781172,0.762273,5.52e-04
65,0.629232,0.653387,0.693905,0.679091,5.39e-04
66,0.631549,0.700825,0.797889,0.731364,5.25e-04
67,0.627136,0.608719,0.780737,0.658182,5.11e-04
68,0.637315,0.665236,0.759481,0.692273,4.98e-04
69,0.630589,0.74988,0.837267,0.781364,4.84e-04
70,0.629903,0.638774,0.735905,0.675455,4.71e-04
71,0.629001,0.617448,0.733787,0.660455,4.57e-04
72,0.622556,0.565265,0.694396,0.630909,4.44e-04
73,0.628593,0.461484,0.583031,0.556818,4.31e-04
74,0.625674,0.609858,0.730302,0.660455,4.17e-04
75,0.620515,0.805589,0.851822,0.817273,4.04e-04
76,0.618613,0.800231,0.857327,0.816364,3.91e-04
77,0.621084,0.768805,0.818123,0.773182,3.78e-04
78,0.620713,0.796605,0.851716,0.810909,3.65e-04
79,0.615904,0.656092,0.699997,0.663182,3.53e-04
80,0.615913,0.605132,0.673083,0.615455,3.40e-04
81,0.618623,0.881318,0.884061,0.882727,3.28e-04
