epoch,train_loss,val_f1,val_precision,val_recall,lr
1,1.783631,0.015152,0.008264,0.090909,1.00e-04
2,1.214815,0.015152,0.008264,0.090909,2.00e-04
3,1.073947,0.016604,0.009137,0.090909,3.00e-04
4,1.000794,0.015152,0.008264,0.090909,4.00e-04
5,0.949378,0.016964,0.099181,0.091818,5.00e-04
6,0.913555,0.015152,0.008264,0.090909,6.00e-04
7,0.878486,0.173974,0.236565,0.232273,7.00e-04
8,0.843878,0.142006,0.151932,0.201364,8.00e-04
9,0.829085,0.465408,0.596637,0.531364,9.00e-04
10,0.802133,0.606417,0.655184,0.652273,1.00e-03
11,0.775136,0.105153,0.095639,0.180909,1.00e-03
12,0.768111,0.106103,0.186575,0.181364,1.00e-03
13,0.775994,0.259761,0.50116,0.282727,9.99e-04
14,0.757057,0.151415,0.382557,0.205909,9.98e-04
15,0.744179,0.139892,0.352968,0.200455,9.97e-04
16,0.73263,0.106057,0.186548,0.181364,9.95e-04
17,0.729758,0.849376,0.875513,0.860455,9.93e-04
18,0.720636,0.545163,0.679795,0.540909,9.91e-04
19,0.712027,0.264562,0.544023,0.287727,9.88e-04
