tsne1,tsne2,class_idx,class_name,aug,snr
-11.1421,-15.7241,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),-2
14.6567,-39.1971,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-2
28.5026,-29.1229,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-2
-30.6398,9.0941,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-2
8.0172,-45.5190,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-2
8.5046,36.2088,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-2
19.5096,38.2455,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-2
31.0283,-22.2219,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-2
22.9075,-29.1503,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-2
-30.7845,-29.7131,0,8PSK,AutoSMC + IQ-Mixup (Method 1),-2
43.0518,5.7057,6,PAM4,AutoSMC + IQ-Mixup (Method 1),-2
-21.9646,6.1063,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-2
-36.5164,-19.8273,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-2
-31.4415,0.7592,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-2
-9.5181,-12.9682,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),-2
20.4747,30.7526,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-2
-37.0837,-25.9865,0,8PSK,AutoSMC + IQ-Mixup (Method 1),-2
-33.5766,-25.8625,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-2
12.0718,-0.4790,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-2
-31.9583,-26.9168,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-2
34.9692,-20.9715,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-2
5.5621,11.7835,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-2
-6.7403,42.2051,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-2
-31.2858,7.9353,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-2
27.4511,-22.4941,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-2
-7.0885,-17.3714,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),-2
13.5597,43.8938,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-2
-44.3402,-15.8880,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-2
34.6637,-22.1701,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-2
6.4195,-41.6303,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-2
7.1970,1.8854,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-2
6.1319,-47.1166,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-2
-22.0117,-30.7376,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-2
-31.9434,-27.9127,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-2
-43.5063,-16.1458,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-2
-2.3039,-18.6634,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),-2
28.2747,-24.7348,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-2
-23.2455,31.8157,5,GFSK,AutoSMC + IQ-Mixup (Method 1),-2
13.5008,43.3235,5,GFSK,AutoSMC + IQ-Mixup (Method 1),-2
8.5103,7.4779,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-2
-28.0822,-33.5295,0,8PSK,AutoSMC + IQ-Mixup (Method 1),-2
8.6318,-44.6760,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-2
9.9759,-45.0694,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-2
-8.7497,-12.0614,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),-2
-26.8282,1.8671,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-2
7.1080,4.0570,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-2
-25.3844,-27.7342,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-2
-26.5029,5.2927,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-2
34.9376,-16.5124,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-2
10.7518,-0.7928,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-2
10.8019,-48.7143,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-2
21.5076,-29.8431,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-2
0.9670,1.5898,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-2
41.9028,5.5333,6,PAM4,AutoSMC + IQ-Mixup (Method 1),-2
-23.3193,37.1061,5,GFSK,AutoSMC + IQ-Mixup (Method 1),-2
-21.9060,37.0846,5,GFSK,AutoSMC + IQ-Mixup (Method 1),-2
5.1524,4.6584,6,PAM4,AutoSMC + IQ-Mixup (Method 1),-2
32.0224,-19.5719,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-2
23.3508,33.1207,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-2
17.7978,36.9992,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-2
2.7416,39.2247,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-2
11.2369,-0.9796,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-2
-21.8113,6.9655,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-2
-34.8861,1.6013,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-2
-31.5802,-29.0784,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-2
-47.0715,-17.5060,0,8PSK,AutoSMC + IQ-Mixup (Method 1),-2
10.4311,36.7517,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-2
10.6442,2.9616,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-2
9.9406,7.0251,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-2
-5.8933,-17.3571,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),-2
-45.9794,-15.3044,0,8PSK,AutoSMC + IQ-Mixup (Method 1),-2
