epoch,train_loss,val_f1,val_precision,val_recall,lr
1,1.233155,0.015152,0.008264,0.090909,1.00e-03
2,0.792648,0.015152,0.008264,0.090909,1.00e-03
3,0.723124,0.015152,0.008264,0.090909,1.00e-03
4,0.651909,0.015152,0.008264,0.090909,1.00e-03
5,0.611428,0.015152,0.008264,0.090909,1.00e-03
6,0.601902,0.015152,0.008264,0.090909,1.00e-03
7,0.599677,0.015158,0.008268,0.090909,1.00e-03
8,0.519293,0.015607,0.008536,0.090909,1.00e-03
9,0.529474,0.077993,0.058854,0.156818,1.00e-03
10,0.563495,0.488872,0.647436,0.561818,1.00e-03
11,0.489482,0.77524,0.857929,0.797727,1.00e-03
12,0.465418,0.707709,0.72197,0.745,1.00e-03
13,0.461664,0.595916,0.759066,0.643636,1.00e-03
14,0.515633,0.102961,0.102929,0.175455,1.00e-03
15,0.498619,0.73741,0.76913,0.763636,1.00e-03
16,0.46571,0.544175,0.541038,0.616818,1.00e-03
17,0.448175,0.541635,0.67626,0.530909,1.00e-03
18,0.43854,0.667807,0.727793,0.673636,1.00e-03
19,0.432618,0.774134,0.790585,0.800909,1.00e-03
20,0.453646,0.666914,0.73185,0.656364,1.00e-03
21,0.493363,0.533854,0.532196,0.619091,1.00e-03
22,0.467255,0.110936,0.323426,0.183182,1.00e-03
23,0.457822,0.885199,0.896601,0.886818,1.00e-03
24,0.449955,0.785179,0.827169,0.810455,1.00e-03
25,0.43307,0.451059,0.669567,0.442727,1.00e-03
26,0.425183,0.790851,0.792552,0.813182,1.00e-03
27,0.420394,0.878612,0.900952,0.883636,1.00e-03
28,0.414972,0.895057,0.904113,0.896364,1.00e-03
29,0.411024,0.896856,0.905126,0.898182,1.00e-03
30,0.436774,0.152163,0.506038,0.212273,1.00e-03
31,0.460154,0.64048,0.680995,0.675909,1.00e-03
32,0.439547,0.65627,0.79665,0.696818,1.00e-03
33,0.441657,0.803748,0.856835,0.827727,1.00e-03
34,0.449615,0.794834,0.881762,0.823182,1.00e-03
35,0.430354,0.508297,0.631153,0.581364,1.00e-03
36,0.419496,0.605003,0.657549,0.652273,1.00e-03
37,0.414394,0.189687,0.482184,0.225,1.00e-03
38,0.409046,0.844925,0.886593,0.855909,1.00e-03
39,0.405533,0.749796,0.73897,0.777727,1.00e-03
40,0.399727,0.800804,0.841936,0.826818,1.00e-03
41,0.398358,0.788539,0.775976,0.818182,1.00e-03
42,0.392747,0.849971,0.885113,0.860909,1.00e-03
43,0.392845,0.886571,0.902091,0.889545,1.00e-03
44,0.392137,0.917438,0.920692,0.918182,1.00e-03
45,0.428692,0.820805,0.879544,0.836364,1.00e-03
46,0.432124,0.105601,0.186506,0.180455,1.00e-03
47,0.446655,0.492591,0.576115,0.538182,1.00e-03
48,0.423953,0.671107,0.685268,0.708182,1.00e-03
49,0.421241,0.757116,0.804563,0.779091,1.00e-03
50,0.421842,0.346355,0.518972,0.385455,1.00e-03
51,0.412086,0.253478,0.656528,0.276364,1.00e-03
52,0.424738,0.796962,0.862194,0.803636,1.00e-03
53,0.401084,0.652466,0.669882,0.681364,1.00e-03
54,0.396888,0.82869,0.849214,0.833182,1.00e-03
55,0.398911,0.847786,0.875712,0.851364,1.00e-03
56,0.394624,0.806834,0.846934,0.823636,1.00e-03
57,0.387127,0.773809,0.771009,0.807727,1.00e-03
58,0.384256,0.573808,0.692867,0.560455,1.00e-03
59,0.383737,0.865987,0.890595,0.87,1.00e-03
60,0.379139,0.75631,0.779879,0.779091,1.00e-03
61,0.37662,0.839399,0.884052,0.851818,1.00e-03
62,0.37395,0.845673,0.879497,0.855909,1.00e-03
63,0.371918,0.918519,0.920011,0.918636,1.00e-03
64,0.370489,0.919458,0.921631,0.92,1.00e-03
65,0.370206,0.8941,0.904174,0.895,1.00e-03
66,0.370713,0.909846,0.913173,0.91,1.00e-03
67,0.383737,0.494159,0.522581,0.560909,1.00e-03
68,0.411353,0.648427,0.706413,0.685909,1.00e-03
69,0.41318,0.56426,0.63385,0.616818,1.00e-03
70,0.425323,0.492468,0.629919,0.57,1.00e-03
71,0.407024,0.461052,0.652548,0.477727,1.00e-03
72,0.404495,0.858331,0.88288,0.862727,1.00e-03
73,0.400819,0.899744,0.906863,0.901364,1.00e-03
74,0.387801,0.105138,0.09563,0.180909,1.00e-03
75,0.383384,0.388333,0.61457,0.380909,1.00e-03
76,0.386613,0.802743,0.824437,0.828636,1.00e-03
77,0.384029,0.652847,0.739976,0.639545,1.00e-03
78,0.384005,0.626879,0.704953,0.622727,1.00e-03
79,0.378088,0.788946,0.775332,0.818636,1.00e-03
80,0.373943,0.876339,0.906556,0.882727,1.00e-03
