epoch,loss,aug
1,1.952010,AutoSMC + IQ-Mixup (Method 1)
2,1.692890,AutoSMC + IQ-Mixup (Method 1)
3,1.639094,AutoSMC + IQ-Mixup (Method 1)
4,1.618491,AutoSMC + IQ-Mixup (Method 1)
5,1.586650,AutoSMC + IQ-Mixup (Method 1)
6,1.588721,AutoSMC + IQ-Mixup (Method 1)
7,1.565958,AutoSMC + IQ-Mixup (Method 1)
8,1.557627,AutoSMC + IQ-Mixup (Method 1)
9,1.561000,AutoSMC + IQ-Mixup (Method 1)
10,1.554122,AutoSMC + IQ-Mixup (Method 1)
11,1.537115,AutoSMC + IQ-Mixup (Method 1)
12,1.521761,AutoSMC + IQ-Mixup (Method 1)
13,1.532355,AutoSMC + IQ-Mixup (Method 1)
14,1.523730,AutoSMC + IQ-Mixup (Method 1)
15,1.508634,AutoSMC + IQ-Mixup (Method 1)
16,1.503888,AutoSMC + IQ-Mixup (Method 1)
17,1.489065,AutoSMC + IQ-Mixup (Method 1)
18,1.499254,AutoSMC + IQ-Mixup (Method 1)
19,1.480474,AutoSMC + IQ-Mixup (Method 1)
20,1.466937,AutoSMC + IQ-Mixup (Method 1)
21,1.499091,AutoSMC + IQ-Mixup (Method 1)
22,1.462408,AutoSMC + IQ-Mixup (Method 1)
23,1.466331,AutoSMC + IQ-Mixup (Method 1)
24,1.474998,AutoSMC + IQ-Mixup (Method 1)
25,1.468180,AutoSMC + IQ-Mixup (Method 1)
26,1.471980,AutoSMC + IQ-Mixup (Method 1)
27,1.452915,AutoSMC + IQ-Mixup (Method 1)
28,1.472616,AutoSMC + IQ-Mixup (Method 1)
29,1.457252,AutoSMC + IQ-Mixup (Method 1)
30,1.431738,AutoSMC + IQ-Mixup (Method 1)
31,1.447990,AutoSMC + IQ-Mixup (Method 1)
32,1.456750,AutoSMC + IQ-Mixup (Method 1)
33,1.450995,AutoSMC + IQ-Mixup (Method 1)
34,1.468064,AutoSMC + IQ-Mixup (Method 1)
35,1.447546,AutoSMC + IQ-Mixup (Method 1)
36,1.424922,AutoSMC + IQ-Mixup (Method 1)
37,1.462539,AutoSMC + IQ-Mixup (Method 1)
38,1.436393,AutoSMC + IQ-Mixup (Method 1)
39,1.432680,AutoSMC + IQ-Mixup (Method 1)
40,1.445808,AutoSMC + IQ-Mixup (Method 1)
41,1.431257,AutoSMC + IQ-Mixup (Method 1)
42,1.424766,AutoSMC + IQ-Mixup (Method 1)
43,1.400375,AutoSMC + IQ-Mixup (Method 1)
44,1.406762,AutoSMC + IQ-Mixup (Method 1)
45,1.409625,AutoSMC + IQ-Mixup (Method 1)
46,1.420505,AutoSMC + IQ-Mixup (Method 1)
47,1.418767,AutoSMC + IQ-Mixup (Method 1)
48,1.419849,AutoSMC + IQ-Mixup (Method 1)
49,1.409384,AutoSMC + IQ-Mixup (Method 1)
50,1.414123,AutoSMC + IQ-Mixup (Method 1)
51,1.386025,AutoSMC + IQ-Mixup (Method 1)
52,1.403203,AutoSMC + IQ-Mixup (Method 1)
53,1.418494,AutoSMC + IQ-Mixup (Method 1)
54,1.420582,AutoSMC + IQ-Mixup (Method 1)
55,1.395328,AutoSMC + IQ-Mixup (Method 1)
56,1.388163,AutoSMC + IQ-Mixup (Method 1)
57,1.385371,AutoSMC + IQ-Mixup (Method 1)
58,1.397933,AutoSMC + IQ-Mixup (Method 1)
59,1.370953,AutoSMC + IQ-Mixup (Method 1)
60,1.419776,AutoSMC + IQ-Mixup (Method 1)
61,1.374314,AutoSMC + IQ-Mixup (Method 1)
62,1.386654,AutoSMC + IQ-Mixup (Method 1)
63,1.399628,AutoSMC + IQ-Mixup (Method 1)
64,1.379818,AutoSMC + IQ-Mixup (Method 1)
65,1.351840,AutoSMC + IQ-Mixup (Method 1)
66,1.375458,AutoSMC + IQ-Mixup (Method 1)
67,1.344275,AutoSMC + IQ-Mixup (Method 1)
68,1.336105,AutoSMC + IQ-Mixup (Method 1)
69,1.354654,AutoSMC + IQ-Mixup (Method 1)
70,1.359116,AutoSMC + IQ-Mixup (Method 1)
71,1.346668,AutoSMC + IQ-Mixup (Method 1)
72,1.349751,AutoSMC + IQ-Mixup (Method 1)
73,1.359764,AutoSMC + IQ-Mixup (Method 1)
74,1.356338,AutoSMC + IQ-Mixup (Method 1)
75,1.334957,AutoSMC + IQ-Mixup (Method 1)
76,1.333213,AutoSMC + IQ-Mixup (Method 1)
