epoch,loss,aug
1,1.744590,AutoSMC + IQ-Mixup (Method 1)
2,1.453168,AutoSMC + IQ-Mixup (Method 1)
3,1.401901,AutoSMC + IQ-Mixup (Method 1)
4,1.341643,AutoSMC + IQ-Mixup (Method 1)
5,1.313614,AutoSMC + IQ-Mixup (Method 1)
6,1.336645,AutoSMC + IQ-Mixup (Method 1)
7,1.313427,AutoSMC + IQ-Mixup (Method 1)
8,1.299141,AutoSMC + IQ-Mixup (Method 1)
9,1.295954,AutoSMC + IQ-Mixup (Method 1)
10,1.270347,AutoSMC + IQ-Mixup (Method 1)
11,1.261750,AutoSMC + IQ-Mixup (Method 1)
12,1.250931,AutoSMC + IQ-Mixup (Method 1)
13,1.269854,AutoSMC + IQ-Mixup (Method 1)
14,1.251267,AutoSMC + IQ-Mixup (Method 1)
15,1.244404,AutoSMC + IQ-Mixup (Method 1)
16,1.258359,AutoSMC + IQ-Mixup (Method 1)
17,1.237863,AutoSMC + IQ-Mixup (Method 1)
18,1.250046,AutoSMC + IQ-Mixup (Method 1)
19,1.238694,AutoSMC + IQ-Mixup (Method 1)
20,1.204111,AutoSMC + IQ-Mixup (Method 1)
21,1.241102,AutoSMC + IQ-Mixup (Method 1)
22,1.207561,AutoSMC + IQ-Mixup (Method 1)
23,1.209142,AutoSMC + IQ-Mixup (Method 1)
24,1.216264,AutoSMC + IQ-Mixup (Method 1)
25,1.218580,AutoSMC + IQ-Mixup (Method 1)
26,1.226911,AutoSMC + IQ-Mixup (Method 1)
27,1.201639,AutoSMC + IQ-Mixup (Method 1)
28,1.228344,AutoSMC + IQ-Mixup (Method 1)
29,1.205749,AutoSMC + IQ-Mixup (Method 1)
30,1.173628,AutoSMC + IQ-Mixup (Method 1)
31,1.195175,AutoSMC + IQ-Mixup (Method 1)
32,1.233543,AutoSMC + IQ-Mixup (Method 1)
33,1.201712,AutoSMC + IQ-Mixup (Method 1)
34,1.214671,AutoSMC + IQ-Mixup (Method 1)
35,1.207878,AutoSMC + IQ-Mixup (Method 1)
36,1.190936,AutoSMC + IQ-Mixup (Method 1)
37,1.203936,AutoSMC + IQ-Mixup (Method 1)
38,1.194722,AutoSMC + IQ-Mixup (Method 1)
39,1.200192,AutoSMC + IQ-Mixup (Method 1)
40,1.201923,AutoSMC + IQ-Mixup (Method 1)
41,1.193837,AutoSMC + IQ-Mixup (Method 1)
42,1.188676,AutoSMC + IQ-Mixup (Method 1)
43,1.155264,AutoSMC + IQ-Mixup (Method 1)
44,1.175812,AutoSMC + IQ-Mixup (Method 1)
45,1.172924,AutoSMC + IQ-Mixup (Method 1)
46,1.190601,AutoSMC + IQ-Mixup (Method 1)
47,1.176223,AutoSMC + IQ-Mixup (Method 1)
48,1.191759,AutoSMC + IQ-Mixup (Method 1)
49,1.177081,AutoSMC + IQ-Mixup (Method 1)
50,1.170303,AutoSMC + IQ-Mixup (Method 1)
51,1.149817,AutoSMC + IQ-Mixup (Method 1)
52,1.160197,AutoSMC + IQ-Mixup (Method 1)
53,1.180902,AutoSMC + IQ-Mixup (Method 1)
54,1.174235,AutoSMC + IQ-Mixup (Method 1)
55,1.162927,AutoSMC + IQ-Mixup (Method 1)
56,1.171378,AutoSMC + IQ-Mixup (Method 1)
57,1.146941,AutoSMC + IQ-Mixup (Method 1)
58,1.162295,AutoSMC + IQ-Mixup (Method 1)
59,1.138123,AutoSMC + IQ-Mixup (Method 1)
60,1.190459,AutoSMC + IQ-Mixup (Method 1)
61,1.141378,AutoSMC + IQ-Mixup (Method 1)
62,1.162075,AutoSMC + IQ-Mixup (Method 1)
63,1.177355,AutoSMC + IQ-Mixup (Method 1)
64,1.153312,AutoSMC + IQ-Mixup (Method 1)
65,1.141913,AutoSMC + IQ-Mixup (Method 1)
66,1.161884,AutoSMC + IQ-Mixup (Method 1)
67,1.134519,AutoSMC + IQ-Mixup (Method 1)
68,1.119577,AutoSMC + IQ-Mixup (Method 1)
69,1.128196,AutoSMC + IQ-Mixup (Method 1)
70,1.144803,AutoSMC + IQ-Mixup (Method 1)
71,1.141578,AutoSMC + IQ-Mixup (Method 1)
72,1.127872,AutoSMC + IQ-Mixup (Method 1)
73,1.148096,AutoSMC + IQ-Mixup (Method 1)
74,1.137445,AutoSMC + IQ-Mixup (Method 1)
75,1.120766,AutoSMC + IQ-Mixup (Method 1)
76,1.125119,AutoSMC + IQ-Mixup (Method 1)
77,1.152830,AutoSMC + IQ-Mixup (Method 1)
78,1.136539,AutoSMC + IQ-Mixup (Method 1)
