snr,seed,trial,epoch,loss,f1,lr,aug,timestamp
2,-1,0,1,1.710135,0.015317,1.00e-03,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:53:42.827054
2,-1,0,2,1.491284,0.015152,1.00e-03,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:54:02.619714
2,-1,0,3,1.427433,0.099007,9.99e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:54:22.410232
2,-1,0,4,1.373215,0.024941,9.98e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:54:42.163293
2,-1,0,5,1.339257,0.016169,9.97e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:55:01.571265
2,-1,0,6,1.340218,0.073508,9.96e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:55:20.686227
2,-1,0,7,1.307070,0.123198,9.94e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:55:40.187131
2,-1,0,8,1.290979,0.217827,9.92e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:55:59.792429
2,-1,0,9,1.291417,0.246336,9.89e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:56:19.174042
2,-1,0,10,1.280718,0.401497,9.86e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:56:38.756931
2,-1,0,11,1.268144,0.690765,9.83e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:56:58.167942
2,-1,0,12,1.274055,0.683937,9.80e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:57:17.512589
2,-1,0,13,1.261424,0.328030,9.76e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:57:37.140295
2,-1,0,14,1.242320,0.362722,9.72e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:57:56.404478
2,-1,0,15,1.248420,0.272336,9.67e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:58:16.021517
2,-1,0,16,1.240674,0.708462,9.62e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:58:35.251930
2,-1,0,17,1.252507,0.524732,9.57e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:58:54.577599
2,-1,0,18,1.222124,0.505992,9.52e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:59:13.720138
2,-1,0,19,1.243252,0.637734,9.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T01:59:32.946170
