tsne1,tsne2,class_idx,class_name,aug,snr
-3.9826,43.4752,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),2
-23.1472,-28.0845,0,8PSK,AutoSMC + IQ-Mixup (Method 1),2
31.4825,15.0236,6,PAM4,AutoSMC + IQ-Mixup (Method 1),2
42.9457,-7.9795,8,QAM64,AutoSMC + IQ-Mixup (Method 1),2
41.5112,-8.2708,8,QAM64,AutoSMC + IQ-Mixup (Method 1),2
28.4933,18.4614,6,PAM4,AutoSMC + IQ-Mixup (Method 1),2
-23.9639,-21.1154,0,8PSK,AutoSMC + IQ-Mixup (Method 1),2
-33.7376,-12.3272,9,QPSK,AutoSMC + IQ-Mixup (Method 1),2
10.2123,-3.0792,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),2
-22.7823,-25.6389,0,8PSK,AutoSMC + IQ-Mixup (Method 1),2
1.1235,34.9187,10,WBFM,AutoSMC + IQ-Mixup (Method 1),2
9.2691,40.7532,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),2
-38.4683,24.2238,3,BPSK,AutoSMC + IQ-Mixup (Method 1),2
31.7369,-28.8421,7,QAM16,AutoSMC + IQ-Mixup (Method 1),2
-35.9817,-21.0179,9,QPSK,AutoSMC + IQ-Mixup (Method 1),2
13.5992,-4.4645,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),2
-27.3006,-20.0133,0,8PSK,AutoSMC + IQ-Mixup (Method 1),2
3.7822,32.1595,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),2
23.4655,11.5532,6,PAM4,AutoSMC + IQ-Mixup (Method 1),2
-5.0298,33.2914,10,WBFM,AutoSMC + IQ-Mixup (Method 1),2
29.7046,-18.3331,7,QAM16,AutoSMC + IQ-Mixup (Method 1),2
1.8481,31.5377,10,WBFM,AutoSMC + IQ-Mixup (Method 1),2
-16.0982,3.2740,5,GFSK,AutoSMC + IQ-Mixup (Method 1),2
-1.4021,-40.5251,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),2
-40.1596,-14.0080,9,QPSK,AutoSMC + IQ-Mixup (Method 1),2
-38.4450,15.4735,3,BPSK,AutoSMC + IQ-Mixup (Method 1),2
-12.6750,-0.7220,5,GFSK,AutoSMC + IQ-Mixup (Method 1),2
0.8198,-39.1787,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),2
29.5806,12.7595,6,PAM4,AutoSMC + IQ-Mixup (Method 1),2
-40.7894,23.2263,3,BPSK,AutoSMC + IQ-Mixup (Method 1),2
31.0401,22.5383,6,PAM4,AutoSMC + IQ-Mixup (Method 1),2
4.9076,35.3253,10,WBFM,AutoSMC + IQ-Mixup (Method 1),2
-38.9406,-18.8767,9,QPSK,AutoSMC + IQ-Mixup (Method 1),2
28.3634,-27.5238,7,QAM16,AutoSMC + IQ-Mixup (Method 1),2
48.7096,-6.5073,8,QAM64,AutoSMC + IQ-Mixup (Method 1),2
10.0838,39.0449,10,WBFM,AutoSMC + IQ-Mixup (Method 1),2
-43.9188,-17.8279,9,QPSK,AutoSMC + IQ-Mixup (Method 1),2
-38.9408,14.9870,3,BPSK,AutoSMC + IQ-Mixup (Method 1),2
27.9047,-21.9360,7,QAM16,AutoSMC + IQ-Mixup (Method 1),2
-16.2039,1.1453,5,GFSK,AutoSMC + IQ-Mixup (Method 1),2
-13.5248,-1.1672,5,GFSK,AutoSMC + IQ-Mixup (Method 1),2
1.9468,33.7020,10,WBFM,AutoSMC + IQ-Mixup (Method 1),2
-38.4189,-10.5112,9,QPSK,AutoSMC + IQ-Mixup (Method 1),2
-43.0200,-13.8045,9,QPSK,AutoSMC + IQ-Mixup (Method 1),2
-15.4768,7.1578,5,GFSK,AutoSMC + IQ-Mixup (Method 1),2
2.5666,40.4177,10,WBFM,AutoSMC + IQ-Mixup (Method 1),2
12.5429,-3.1705,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),2
-35.8987,-16.6589,9,QPSK,AutoSMC + IQ-Mixup (Method 1),2
3.3167,-44.3099,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),2
-40.2439,22.6770,3,BPSK,AutoSMC + IQ-Mixup (Method 1),2
2.2890,49.1674,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),2
24.4891,11.2738,6,PAM4,AutoSMC + IQ-Mixup (Method 1),2
31.9531,14.3714,6,PAM4,AutoSMC + IQ-Mixup (Method 1),2
-34.1665,-15.6293,9,QPSK,AutoSMC + IQ-Mixup (Method 1),2
12.0231,-7.3182,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),2
-40.9169,-9.6503,9,QPSK,AutoSMC + IQ-Mixup (Method 1),2
-21.8679,-29.8422,0,8PSK,AutoSMC + IQ-Mixup (Method 1),2
47.7009,-4.2674,8,QAM64,AutoSMC + IQ-Mixup (Method 1),2
-5.1421,38.7099,10,WBFM,AutoSMC + IQ-Mixup (Method 1),2
32.0743,-21.2331,7,QAM16,AutoSMC + IQ-Mixup (Method 1),2
-41.9145,24.6072,3,BPSK,AutoSMC + IQ-Mixup (Method 1),2
-3.9408,38.5466,10,WBFM,AutoSMC + IQ-Mixup (Method 1),2
1.4376,-42.2949,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),2
-39.6942,-15.4942,9,QPSK,AutoSMC + IQ-Mixup (Method 1),2
-5.8547,39.6756,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),2
33.3466,15.1069,6,PAM4,AutoSMC + IQ-Mixup (Method 1),2
-36.9207,19.5326,3,BPSK,AutoSMC + IQ-Mixup (Method 1),2
30.8433,-28.0227,7,QAM16,AutoSMC + IQ-Mixup (Method 1),2
28.9076,-21.6502,7,QAM16,AutoSMC + IQ-Mixup (Method 1),2
5.2262,-46.4009,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),2
5.5297,-7.9227,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),2
47.2981,-1.2168,8,QAM64,AutoSMC + IQ-Mixup (Method 1),2
-38.9086,-16.5277,9,QPSK,AutoSMC + IQ-Mixup (Method 1),2
-13.0403,6.8178,5,GFSK,AutoSMC + IQ-Mixup (Method 1),2
-15.7522,0.2085,5,GFSK,AutoSMC + IQ-Mixup (Method 1),2
30.7714,12.6857,6,PAM4,AutoSMC + IQ-Mixup (Method 1),2
