epoch,train_loss,val_f1,val_precision,val_recall,lr
1,1.500261,0.015152,0.008264,0.090909,1.00e-03
2,0.96723,0.015152,0.008264,0.090909,1.00e-03
3,0.870764,0.015152,0.008264,0.090909,1.00e-03
4,0.811957,0.015152,0.008264,0.090909,1.00e-03
5,0.748467,0.068531,0.083343,0.174545,1.00e-03
6,0.742614,0.102463,0.074034,0.206818,1.00e-03
7,0.724452,0.152636,0.165063,0.264091,1.00e-03
8,0.663433,0.247467,0.370874,0.351818,1.00e-03
9,0.681957,0.489453,0.666234,0.553182,1.00e-03
10,0.691508,0.639005,0.718825,0.686818,1.00e-03
11,0.640416,0.675684,0.735892,0.703182,1.00e-03
12,0.60231,0.732906,0.743959,0.751364,1.00e-03
13,0.600103,0.734098,0.753313,0.774091,1.00e-03
14,0.676912,0.614416,0.659016,0.656818,1.00e-03
15,0.640709,0.377132,0.504055,0.484545,1.00e-03
16,0.611242,0.508818,0.66588,0.555,1.00e-03
17,0.582721,0.760452,0.78325,0.774091,1.00e-03
18,0.556983,0.742083,0.779735,0.759091,1.00e-03
19,0.543505,0.753296,0.772048,0.766364,1.00e-03
20,0.582956,0.471713,0.649124,0.511818,1.00e-03
21,0.615128,0.551576,0.717071,0.569545,1.00e-03
22,0.59453,0.629402,0.724255,0.659091,1.00e-03
23,0.554224,0.671542,0.73452,0.711818,1.00e-03
24,0.56367,0.270249,0.472371,0.36,1.00e-03
25,0.538321,0.783256,0.807908,0.784545,1.00e-03
26,0.521815,0.710736,0.761103,0.747273,1.00e-03
27,0.507938,0.731439,0.759715,0.753636,1.00e-03
28,0.49386,0.742108,0.744703,0.764091,1.00e-03
29,0.487751,0.76045,0.747443,0.786364,1.00e-03
30,0.532264,0.573352,0.682,0.591364,1.00e-03
31,0.56956,0.706125,0.713783,0.730455,1.00e-03
32,0.563322,0.696098,0.705268,0.728182,1.00e-03
33,0.539124,0.745595,0.762708,0.769545,1.00e-03
34,0.519903,0.681911,0.753869,0.710909,1.00e-03
35,0.511817,0.74801,0.755048,0.773182,1.00e-03
36,0.50152,0.736958,0.800768,0.756364,1.00e-03
37,0.482041,0.707272,0.727501,0.729545,1.00e-03
38,0.474618,0.745135,0.737863,0.773182,1.00e-03
39,0.468445,0.763473,0.790685,0.789545,1.00e-03
40,0.450506,0.78057,0.804563,0.791364,1.00e-03
41,0.442157,0.732646,0.749949,0.744545,1.00e-03
42,0.435306,0.741033,0.747045,0.763636,1.00e-03
43,0.434281,0.789905,0.830939,0.800909,1.00e-03
44,0.433554,0.827717,0.85212,0.828636,1.00e-03
45,0.486614,0.605094,0.709077,0.640455,1.00e-03
46,0.501949,0.62741,0.693184,0.683182,1.00e-03
47,0.50172,0.709377,0.741919,0.715455,1.00e-03
48,0.503497,0.532752,0.654327,0.579091,1.00e-03
49,0.482574,0.490143,0.636388,0.530909,1.00e-03
50,0.487712,0.609343,0.641914,0.645909,1.00e-03
51,0.464372,0.773596,0.806207,0.787727,1.00e-03
52,0.454079,0.754214,0.769832,0.781364,1.00e-03
53,0.444372,0.78711,0.817133,0.786818,1.00e-03
54,0.442957,0.27737,0.383995,0.348636,1.00e-03
55,0.424916,0.723463,0.768171,0.739545,1.00e-03
56,0.417737,0.831189,0.845242,0.831818,1.00e-03
57,0.40788,0.767998,0.799902,0.779091,1.00e-03
58,0.405872,0.756844,0.770026,0.757727,1.00e-03
59,0.398497,0.761935,0.784497,0.771364,1.00e-03
60,0.401128,0.786838,0.81962,0.787273,1.00e-03
61,0.387807,0.789303,0.807561,0.792727,1.00e-03
62,0.391228,0.807635,0.814884,0.808182,1.00e-03
63,0.387087,0.814485,0.823233,0.814091,1.00e-03
64,0.386134,0.78299,0.807392,0.789545,1.00e-03
65,0.382328,0.805141,0.818167,0.805909,1.00e-03
66,0.381474,0.805525,0.8189,0.806364,1.00e-03
67,0.403606,0.450446,0.672383,0.523182,1.00e-03
68,0.458857,0.341837,0.497202,0.414545,1.00e-03
69,0.460904,0.608031,0.698776,0.635455,1.00e-03
70,0.448446,0.697041,0.72097,0.705,1.00e-03
71,0.433581,0.756361,0.752477,0.78,1.00e-03
72,0.442408,0.692973,0.724457,0.712727,1.00e-03
73,0.428066,0.683929,0.705535,0.717273,1.00e-03
74,0.439104,0.521387,0.61522,0.573182,1.00e-03
75,0.423491,0.667595,0.673022,0.695455,1.00e-03
76,0.41476,0.762995,0.76972,0.790455,1.00e-03
77,0.407075,0.815845,0.820249,0.819091,1.00e-03
78,0.405323,0.758953,0.769591,0.764545,1.00e-03
79,0.396724,0.724642,0.736462,0.751364,1.00e-03
80,0.391415,0.75377,0.771245,0.754545,1.00e-03
