epoch,loss,aug
1,0.951810,AutoSMC + IQ-Mixup (Method 1) [Fixed]
2,0.451036,AutoSMC + IQ-Mixup (Method 1) [Fixed]
3,0.330542,AutoSMC + IQ-Mixup (Method 1) [Fixed]
4,0.292355,AutoSMC + IQ-Mixup (Method 1) [Fixed]
5,0.241308,AutoSMC + IQ-Mixup (Method 1) [Fixed]
6,0.235177,AutoSMC + IQ-Mixup (Method 1) [Fixed]
7,0.201019,AutoSMC + IQ-Mixup (Method 1) [Fixed]
8,0.192698,AutoSMC + IQ-Mixup (Method 1) [Fixed]
9,0.161911,AutoSMC + IQ-Mixup (Method 1) [Fixed]
10,0.185531,AutoSMC + IQ-Mixup (Method 1) [Fixed]
11,0.158029,AutoSMC + IQ-Mixup (Method 1) [Fixed]
12,0.167389,AutoSMC + IQ-Mixup (Method 1) [Fixed]
13,0.151129,AutoSMC + IQ-Mixup (Method 1) [Fixed]
14,0.156434,AutoSMC + IQ-Mixup (Method 1) [Fixed]
15,0.146070,AutoSMC + IQ-Mixup (Method 1) [Fixed]
16,0.146164,AutoSMC + IQ-Mixup (Method 1) [Fixed]
17,0.153428,AutoSMC + IQ-Mixup (Method 1) [Fixed]
18,0.161139,AutoSMC + IQ-Mixup (Method 1) [Fixed]
19,0.133307,AutoSMC + IQ-Mixup (Method 1) [Fixed]
20,0.140315,AutoSMC + IQ-Mixup (Method 1) [Fixed]
21,0.135347,AutoSMC + IQ-Mixup (Method 1) [Fixed]
22,0.135347,AutoSMC + IQ-Mixup (Method 1) [Fixed]
23,0.123831,AutoSMC + IQ-Mixup (Method 1) [Fixed]
24,0.131562,AutoSMC + IQ-Mixup (Method 1) [Fixed]
25,0.136895,AutoSMC + IQ-Mixup (Method 1) [Fixed]
26,0.140674,AutoSMC + IQ-Mixup (Method 1) [Fixed]
27,0.124302,AutoSMC + IQ-Mixup (Method 1) [Fixed]
28,0.117630,AutoSMC + IQ-Mixup (Method 1) [Fixed]
29,0.122743,AutoSMC + IQ-Mixup (Method 1) [Fixed]
30,0.118701,AutoSMC + IQ-Mixup (Method 1) [Fixed]
31,0.128925,AutoSMC + IQ-Mixup (Method 1) [Fixed]
32,0.125557,AutoSMC + IQ-Mixup (Method 1) [Fixed]
33,0.112264,AutoSMC + IQ-Mixup (Method 1) [Fixed]
34,0.121265,AutoSMC + IQ-Mixup (Method 1) [Fixed]
35,0.120447,AutoSMC + IQ-Mixup (Method 1) [Fixed]
36,0.118222,AutoSMC + IQ-Mixup (Method 1) [Fixed]
37,0.115681,AutoSMC + IQ-Mixup (Method 1) [Fixed]
38,0.119615,AutoSMC + IQ-Mixup (Method 1) [Fixed]
39,0.106689,AutoSMC + IQ-Mixup (Method 1) [Fixed]
40,0.110793,AutoSMC + IQ-Mixup (Method 1) [Fixed]
41,0.111582,AutoSMC + IQ-Mixup (Method 1) [Fixed]
42,0.116869,AutoSMC + IQ-Mixup (Method 1) [Fixed]
43,0.123528,AutoSMC + IQ-Mixup (Method 1) [Fixed]
44,0.113206,AutoSMC + IQ-Mixup (Method 1) [Fixed]
45,0.103781,AutoSMC + IQ-Mixup (Method 1) [Fixed]
46,0.107238,AutoSMC + IQ-Mixup (Method 1) [Fixed]
47,0.101495,AutoSMC + IQ-Mixup (Method 1) [Fixed]
48,0.109773,AutoSMC + IQ-Mixup (Method 1) [Fixed]
49,0.095757,AutoSMC + IQ-Mixup (Method 1) [Fixed]
50,0.108566,AutoSMC + IQ-Mixup (Method 1) [Fixed]
51,0.106228,AutoSMC + IQ-Mixup (Method 1) [Fixed]
52,0.101631,AutoSMC + IQ-Mixup (Method 1) [Fixed]
53,0.111677,AutoSMC + IQ-Mixup (Method 1) [Fixed]
54,0.103479,AutoSMC + IQ-Mixup (Method 1) [Fixed]
55,0.098639,AutoSMC + IQ-Mixup (Method 1) [Fixed]
56,0.099565,AutoSMC + IQ-Mixup (Method 1) [Fixed]
57,0.101328,AutoSMC + IQ-Mixup (Method 1) [Fixed]
58,0.102263,AutoSMC + IQ-Mixup (Method 1) [Fixed]
59,0.098567,AutoSMC + IQ-Mixup (Method 1) [Fixed]
60,0.107105,AutoSMC + IQ-Mixup (Method 1) [Fixed]
61,0.102728,AutoSMC + IQ-Mixup (Method 1) [Fixed]
62,0.100420,AutoSMC + IQ-Mixup (Method 1) [Fixed]
63,0.097356,AutoSMC + IQ-Mixup (Method 1) [Fixed]
64,0.106941,AutoSMC + IQ-Mixup (Method 1) [Fixed]
65,0.093990,AutoSMC + IQ-Mixup (Method 1) [Fixed]
66,0.096483,AutoSMC + IQ-Mixup (Method 1) [Fixed]
67,0.093039,AutoSMC + IQ-Mixup (Method 1) [Fixed]
68,0.093278,AutoSMC + IQ-Mixup (Method 1) [Fixed]
69,0.091698,AutoSMC + IQ-Mixup (Method 1) [Fixed]
70,0.093448,AutoSMC + IQ-Mixup (Method 1) [Fixed]
71,0.084422,AutoSMC + IQ-Mixup (Method 1) [Fixed]
72,0.088541,AutoSMC + IQ-Mixup (Method 1) [Fixed]
73,0.091512,AutoSMC + IQ-Mixup (Method 1) [Fixed]
74,0.084290,AutoSMC + IQ-Mixup (Method 1) [Fixed]
75,0.089242,AutoSMC + IQ-Mixup (Method 1) [Fixed]
76,0.092592,AutoSMC + IQ-Mixup (Method 1) [Fixed]
77,0.091382,AutoSMC + IQ-Mixup (Method 1) [Fixed]
78,0.086488,AutoSMC + IQ-Mixup (Method 1) [Fixed]
79,0.082866,AutoSMC + IQ-Mixup (Method 1) [Fixed]
80,0.085940,AutoSMC + IQ-Mixup (Method 1) [Fixed]
81,0.083296,AutoSMC + IQ-Mixup (Method 1) [Fixed]
82,0.087813,AutoSMC + IQ-Mixup (Method 1) [Fixed]
83,0.084252,AutoSMC + IQ-Mixup (Method 1) [Fixed]
