epoch,loss,aug
1,1.616425,AutoSMC + IQ-Mixup (Method 1)
2,1.334314,AutoSMC + IQ-Mixup (Method 1)
3,1.244172,AutoSMC + IQ-Mixup (Method 1)
4,1.178828,AutoSMC + IQ-Mixup (Method 1)
5,1.150272,AutoSMC + IQ-Mixup (Method 1)
6,1.135863,AutoSMC + IQ-Mixup (Method 1)
7,1.139367,AutoSMC + IQ-Mixup (Method 1)
8,1.146227,AutoSMC + IQ-Mixup (Method 1)
9,1.088721,AutoSMC + IQ-Mixup (Method 1)
10,1.102315,AutoSMC + IQ-Mixup (Method 1)
11,1.090208,AutoSMC + IQ-Mixup (Method 1)
12,1.102941,AutoSMC + IQ-Mixup (Method 1)
13,1.068620,AutoSMC + IQ-Mixup (Method 1)
14,1.048194,AutoSMC + IQ-Mixup (Method 1)
15,1.058799,AutoSMC + IQ-Mixup (Method 1)
16,1.066879,AutoSMC + IQ-Mixup (Method 1)
17,1.050292,AutoSMC + IQ-Mixup (Method 1)
18,1.045193,AutoSMC + IQ-Mixup (Method 1)
19,1.058817,AutoSMC + IQ-Mixup (Method 1)
20,1.045147,AutoSMC + IQ-Mixup (Method 1)
21,1.033367,AutoSMC + IQ-Mixup (Method 1)
22,1.024230,AutoSMC + IQ-Mixup (Method 1)
23,1.047605,AutoSMC + IQ-Mixup (Method 1)
24,1.036794,AutoSMC + IQ-Mixup (Method 1)
25,1.019864,AutoSMC + IQ-Mixup (Method 1)
26,1.015114,AutoSMC + IQ-Mixup (Method 1)
27,1.013671,AutoSMC + IQ-Mixup (Method 1)
28,1.014057,AutoSMC + IQ-Mixup (Method 1)
29,1.007579,AutoSMC + IQ-Mixup (Method 1)
30,1.013652,AutoSMC + IQ-Mixup (Method 1)
31,0.985944,AutoSMC + IQ-Mixup (Method 1)
32,0.993463,AutoSMC + IQ-Mixup (Method 1)
33,1.007167,AutoSMC + IQ-Mixup (Method 1)
34,0.978742,AutoSMC + IQ-Mixup (Method 1)
35,0.999617,AutoSMC + IQ-Mixup (Method 1)
36,0.978830,AutoSMC + IQ-Mixup (Method 1)
37,0.963418,AutoSMC + IQ-Mixup (Method 1)
38,0.992260,AutoSMC + IQ-Mixup (Method 1)
39,0.992716,AutoSMC + IQ-Mixup (Method 1)
40,0.982706,AutoSMC + IQ-Mixup (Method 1)
41,0.967841,AutoSMC + IQ-Mixup (Method 1)
42,0.974612,AutoSMC + IQ-Mixup (Method 1)
43,0.965272,AutoSMC + IQ-Mixup (Method 1)
44,0.961487,AutoSMC + IQ-Mixup (Method 1)
45,0.948476,AutoSMC + IQ-Mixup (Method 1)
46,0.982912,AutoSMC + IQ-Mixup (Method 1)
47,0.998756,AutoSMC + IQ-Mixup (Method 1)
48,0.969499,AutoSMC + IQ-Mixup (Method 1)
49,0.952422,AutoSMC + IQ-Mixup (Method 1)
50,0.943689,AutoSMC + IQ-Mixup (Method 1)
51,0.979615,AutoSMC + IQ-Mixup (Method 1)
52,0.976341,AutoSMC + IQ-Mixup (Method 1)
53,0.952171,AutoSMC + IQ-Mixup (Method 1)
54,0.964871,AutoSMC + IQ-Mixup (Method 1)
55,0.942456,AutoSMC + IQ-Mixup (Method 1)
56,0.951794,AutoSMC + IQ-Mixup (Method 1)
57,0.957924,AutoSMC + IQ-Mixup (Method 1)
58,0.957740,AutoSMC + IQ-Mixup (Method 1)
59,0.967398,AutoSMC + IQ-Mixup (Method 1)
60,0.944616,AutoSMC + IQ-Mixup (Method 1)
61,0.939191,AutoSMC + IQ-Mixup (Method 1)
62,0.942114,AutoSMC + IQ-Mixup (Method 1)
63,0.932514,AutoSMC + IQ-Mixup (Method 1)
64,0.960111,AutoSMC + IQ-Mixup (Method 1)
65,0.930323,AutoSMC + IQ-Mixup (Method 1)
