snr,seed,trial,epoch,loss,f1,lr,aug,timestamp
6,-1,0,1,1.658452,0.015152,1.00e-03,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:11:08.651123
6,-1,0,2,1.341005,0.015152,1.00e-03,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:11:27.822703
6,-1,0,3,1.251223,0.015152,9.99e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:11:46.849826
6,-1,0,4,1.211088,0.032790,9.98e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:12:05.834207
6,-1,0,5,1.160226,0.111930,9.97e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:12:24.774296
6,-1,0,6,1.144532,0.144261,9.96e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:12:43.553023
6,-1,0,7,1.137759,0.170007,9.94e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:13:02.448299
6,-1,0,8,1.125492,0.212230,9.92e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:13:21.215035
6,-1,0,9,1.112344,0.617870,9.89e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:13:40.126734
6,-1,0,10,1.092125,0.303285,9.86e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:13:59.001115
6,-1,0,11,1.101968,0.110560,9.83e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:14:18.287839
6,-1,0,12,1.100633,0.422752,9.80e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:14:38.690066
6,-1,0,13,1.085376,0.609226,9.76e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:14:58.369349
6,-1,0,14,1.076014,0.238290,9.72e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:15:17.684022
6,-1,0,15,1.070058,0.489319,9.67e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:15:37.024676
6,-1,0,16,1.048845,0.430718,9.62e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:15:56.558352
6,-1,0,17,1.082029,0.698128,9.57e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:16:15.531647
6,-1,0,18,1.041628,0.283392,9.52e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:16:34.502086
6,-1,0,19,1.066637,0.370673,9.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:16:53.438443
6,-1,0,20,1.035535,0.445354,9.40e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:17:12.435534
6,-1,0,21,1.051782,0.105145,9.34e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:17:31.449333
6,-1,0,22,1.038835,0.134560,9.27e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:17:50.342690
6,-1,0,23,1.030101,0.105153,9.20e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:18:09.685635
6,-1,0,24,1.029573,0.106964,9.13e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:18:28.517267
6,-1,0,25,1.017059,0.435109,9.05e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:18:47.356510
6,-1,0,26,1.030962,0.225370,8.98e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:19:06.152095
6,-1,0,27,1.038995,0.592533,8.90e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:19:24.973128
6,-1,0,28,1.039588,0.779380,8.81e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:19:43.892674
6,-1,0,29,1.023105,0.503984,8.73e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:20:02.738869
6,-1,0,30,0.986963,0.663057,8.64e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:20:21.422595
6,-1,0,31,1.030540,0.671331,8.55e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:20:40.214149
6,-1,0,32,0.998876,0.422433,8.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:20:59.049532
6,-1,0,33,1.006786,0.591903,8.36e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:21:17.982267
6,-1,0,34,1.010033,0.600718,8.26e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:21:36.861474
6,-1,0,35,0.993925,0.482444,8.17e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:21:55.734136
6,-1,0,36,0.986187,0.530007,8.06e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:22:14.823724
6,-1,0,37,1.012150,0.325263,7.96e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:22:34.327880
6,-1,0,38,0.988604,0.455944,7.85e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:22:54.197077
6,-1,0,39,0.994118,0.550896,7.75e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:23:14.100225
6,-1,0,40,0.981987,0.616693,7.64e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:23:33.956992
6,-1,0,41,0.985691,0.619621,7.52e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:23:53.512950
6,-1,0,42,0.981444,0.659758,7.41e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:24:12.992431
6,-1,0,43,0.976389,0.511750,7.30e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:24:32.165861
6,-1,0,44,0.977230,0.437908,7.18e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:24:51.720262
6,-1,0,45,1.003081,0.326640,7.06e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:25:11.159105
6,-1,0,46,1.020562,0.751862,6.94e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:25:30.568666
6,-1,0,47,0.972002,0.716176,6.82e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:25:49.648171
6,-1,0,48,0.977135,0.116569,6.70e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:26:08.770392
6,-1,0,49,0.975465,0.363796,6.58e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:26:28.791160
6,-1,0,50,0.953469,0.321253,6.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:26:48.287107
6,-1,0,51,0.956376,0.326648,6.33e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:27:07.593127
6,-1,0,52,0.936752,0.509805,6.21e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:27:27.111496
