tsne1,tsne2,class_idx,class_name,aug,snr
-33.2679,17.8113,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
-13.6878,8.7065,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
17.1868,-3.5796,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
14.5498,-7.3655,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-36.4348,13.1507,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
17.1343,-1.7636,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
18.1792,-31.5063,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-9.2838,-19.5009,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
-41.6458,-7.7195,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
-35.8926,24.9538,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
47.9854,-2.5096,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
17.2227,-33.3618,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-17.0893,-29.3933,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
-11.6212,9.4272,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
37.5207,17.9577,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
49.0717,-0.0129,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-40.3922,-11.0883,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
16.9533,0.2029,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
-15.4701,-31.8759,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
-36.0867,15.7668,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
-36.9538,26.1324,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
24.6100,-28.2346,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
8.4696,-4.7915,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
23.7224,-29.0017,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-5.3963,-29.4825,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
21.4965,-4.2481,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
52.0731,-15.3372,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
40.5454,18.1656,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
-11.0565,-12.9156,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
-34.3240,20.6518,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
-5.6058,-36.4980,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
15.5785,36.0614,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
-4.8236,-30.4813,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
-3.2607,8.8996,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
-33.5900,27.3086,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
24.5537,-30.2939,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
21.6737,-42.1276,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-16.1819,45.7136,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
7.5869,33.6983,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
-33.6328,21.0193,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
37.8319,13.6259,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
-13.6177,5.4686,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
-10.0212,-27.2524,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
20.3253,-2.7768,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
-9.8183,4.3263,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
15.0619,-38.8042,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
8.7190,36.9707,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
19.1734,-35.5517,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
13.1984,36.9992,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
24.4339,-32.9789,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-7.8461,-29.8327,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
-8.3294,15.3528,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
41.3393,18.7231,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
16.2468,-3.0891,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
36.1630,19.6135,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
-41.0910,-7.0500,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
13.3616,-0.3311,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
-8.5720,-36.3467,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
8.7070,32.7172,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
16.7186,-5.4810,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
-15.4931,-29.6260,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
-23.2100,44.1354,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
-47.7136,-5.5357,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
-8.0005,13.8583,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
-31.6599,20.3773,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
-14.1186,48.1912,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
8.9386,31.5918,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
22.6009,-4.6064,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
-37.3074,17.7125,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
-5.9546,-46.1571,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
-23.3643,38.2372,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
-18.2197,46.3315,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
19.1318,-3.9647,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
-10.7036,-32.4041,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
18.2304,-39.4247,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-5.4100,9.5461,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
8.5638,35.4315,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
-42.8913,-4.4733,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
-42.6255,-7.5495,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
14.5133,-1.2024,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
37.0261,12.6525,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
5.6890,31.8531,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
-46.8669,-15.3320,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
-49.5392,-7.8527,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
15.0301,38.8503,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
26.0512,-38.0368,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
41.2946,12.8822,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
-10.0053,-44.4337,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
-43.7506,-12.5104,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
-11.9063,-18.3693,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
-35.2491,18.4360,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
48.9018,-0.9586,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-10.8648,-34.6992,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
-29.8193,14.9965,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
24.7267,-31.3636,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
8.8185,-6.8818,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
47.7905,-10.4128,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-9.7594,-16.1227,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
-17.3813,-27.8975,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
34.6055,14.4712,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
-10.0764,-26.6953,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
-36.6900,15.1061,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
7.3808,34.9429,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
-5.4941,-46.3558,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
-10.3023,-16.4861,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
43.6635,14.2357,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
40.1558,15.1649,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
51.2586,-15.5832,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
24.2064,-36.9831,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-44.2624,-7.7283,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
52.2597,-13.0830,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-48.3111,-8.9235,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
-16.2586,-28.3410,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
49.0210,-14.2377,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
16.3907,-9.2587,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
-11.5891,-27.7514,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
-14.8644,44.2755,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
-39.3370,-8.2670,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
-31.6877,17.2924,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
53.9471,-14.5953,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
9.3370,34.6453,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
-15.1981,-29.2880,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
25.6313,-37.4124,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-8.9026,9.9683,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
13.5822,36.0393,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
-47.4654,-6.9760,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
36.2557,12.2027,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
48.6548,-10.5702,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-35.0069,13.0965,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
38.1942,13.7421,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
-48.8491,-4.5553,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
48.7918,-3.0351,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-31.4211,17.6780,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
20.8720,-32.8741,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-31.4202,18.5420,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
-22.5947,44.5337,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
12.3588,33.5282,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
14.0364,33.8686,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
-11.8367,-26.6736,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
-37.5843,17.7370,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
7.7554,-4.5200,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
17.1654,-39.0409,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
19.8253,-39.3036,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-17.5389,43.3227,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
-9.6408,-16.4640,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
