epoch,loss,aug
1,1.116263,AutoSMC + Freq-Domain Aug (Method 5)
2,0.684121,AutoSMC + Freq-Domain Aug (Method 5)
3,0.589745,AutoSMC + Freq-Domain Aug (Method 5)
4,0.548339,AutoSMC + Freq-Domain Aug (Method 5)
5,0.506564,AutoSMC + Freq-Domain Aug (Method 5)
6,0.499875,AutoSMC + Freq-Domain Aug (Method 5)
7,0.472511,AutoSMC + Freq-Domain Aug (Method 5)
8,0.472871,AutoSMC + Freq-Domain Aug (Method 5)
9,0.455800,AutoSMC + Freq-Domain Aug (Method 5)
10,0.430758,AutoSMC + Freq-Domain Aug (Method 5)
11,0.449376,AutoSMC + Freq-Domain Aug (Method 5)
12,0.404247,AutoSMC + Freq-Domain Aug (Method 5)
13,0.402159,AutoSMC + Freq-Domain Aug (Method 5)
14,0.418378,AutoSMC + Freq-Domain Aug (Method 5)
15,0.383215,AutoSMC + Freq-Domain Aug (Method 5)
16,0.376573,AutoSMC + Freq-Domain Aug (Method 5)
17,0.372503,AutoSMC + Freq-Domain Aug (Method 5)
18,0.357994,AutoSMC + Freq-Domain Aug (Method 5)
19,0.349071,AutoSMC + Freq-Domain Aug (Method 5)
20,0.353706,AutoSMC + Freq-Domain Aug (Method 5)
21,0.351102,AutoSMC + Freq-Domain Aug (Method 5)
22,0.343387,AutoSMC + Freq-Domain Aug (Method 5)
23,0.336470,AutoSMC + Freq-Domain Aug (Method 5)
24,0.329124,AutoSMC + Freq-Domain Aug (Method 5)
25,0.312022,AutoSMC + Freq-Domain Aug (Method 5)
26,0.322768,AutoSMC + Freq-Domain Aug (Method 5)
27,0.314133,AutoSMC + Freq-Domain Aug (Method 5)
28,0.305868,AutoSMC + Freq-Domain Aug (Method 5)
29,0.318256,AutoSMC + Freq-Domain Aug (Method 5)
30,0.297131,AutoSMC + Freq-Domain Aug (Method 5)
31,0.286304,AutoSMC + Freq-Domain Aug (Method 5)
32,0.299934,AutoSMC + Freq-Domain Aug (Method 5)
33,0.286793,AutoSMC + Freq-Domain Aug (Method 5)
