snr,seed,trial,epoch,loss,f1,lr,aug,timestamp
6,-1,0,1,1.103098,0.015152,1.00e-03,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:20:32.029381
6,-1,0,2,0.735124,0.015152,1.00e-03,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:20:51.568302
6,-1,0,3,0.642003,0.015152,9.99e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:21:11.240374
6,-1,0,4,0.599667,0.057279,9.98e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:21:30.654420
6,-1,0,5,0.566139,0.017416,9.97e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:21:50.310392
6,-1,0,6,0.525252,0.049968,9.96e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:22:09.516699
6,-1,0,7,0.513977,0.100292,9.94e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:22:28.966776
6,-1,0,8,0.511130,0.140877,9.92e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:22:48.293353
6,-1,0,9,0.497752,0.280397,9.89e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:23:07.741928
6,-1,0,10,0.471962,0.462788,9.86e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:23:27.432550
6,-1,0,11,0.455065,0.104674,9.83e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:23:47.036684
6,-1,0,12,0.453148,0.653404,9.80e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:24:06.653070
6,-1,0,13,0.428773,0.615648,9.76e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:24:26.389103
6,-1,0,14,0.420344,0.106948,9.72e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:24:46.012806
6,-1,0,15,0.424175,0.551229,9.67e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:25:05.717074
6,-1,0,16,0.402367,0.422023,9.62e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:25:25.268861
6,-1,0,17,0.369876,0.711872,9.57e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:25:44.989835
6,-1,0,18,0.377253,0.267008,9.52e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:26:04.873931
6,-1,0,19,0.373996,0.645353,9.46e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:26:24.720714
6,-1,0,20,0.354873,0.634813,9.40e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:26:44.474630
6,-1,0,21,0.353147,0.107659,9.34e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:27:04.234233
6,-1,0,22,0.333602,0.101371,9.27e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:27:23.925434
6,-1,0,23,0.336683,0.670569,9.20e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:27:43.779450
6,-1,0,24,0.355896,0.617969,9.13e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:28:03.445121
6,-1,0,25,0.332135,0.106058,9.05e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:28:23.331886
6,-1,0,26,0.333220,0.730705,8.98e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:28:42.943838
6,-1,0,27,0.338929,0.284479,8.90e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:29:02.499132
6,-1,0,28,0.315292,0.105153,8.81e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:29:22.096798
6,-1,0,29,0.317730,0.105175,8.73e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:29:41.569519
6,-1,0,30,0.332156,0.109886,8.64e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:30:00.965835
6,-1,0,31,0.319901,0.551194,8.55e-04,AutoSMC + Freq-Domain Aug (Method 5),2026-04-25T04:30:20.417758
