tsne1,tsne2,class_idx,class_name,aug,snr
1.5006,29.8153,10,WBFM,AutoSMC + Freq-Domain Aug (Method 5),6
14.9090,31.0374,1,AM-DSB,AutoSMC + Freq-Domain Aug (Method 5),6
26.7595,-29.4211,8,QAM64,AutoSMC + Freq-Domain Aug (Method 5),6
32.6770,-23.7938,8,QAM64,AutoSMC + Freq-Domain Aug (Method 5),6
-15.3521,-5.2904,4,CPFSK,AutoSMC + Freq-Domain Aug (Method 5),6
17.0276,24.2508,10,WBFM,AutoSMC + Freq-Domain Aug (Method 5),6
1.1388,29.1804,10,WBFM,AutoSMC + Freq-Domain Aug (Method 5),6
15.2917,4.8270,2,AM-SSB,AutoSMC + Freq-Domain Aug (Method 5),6
-28.6682,-33.1523,9,QPSK,AutoSMC + Freq-Domain Aug (Method 5),6
-17.8415,36.4896,5,GFSK,AutoSMC + Freq-Domain Aug (Method 5),6
-50.4367,13.7941,3,BPSK,AutoSMC + Freq-Domain Aug (Method 5),6
23.0738,-29.3240,8,QAM64,AutoSMC + Freq-Domain Aug (Method 5),6
-11.3845,-4.3333,4,CPFSK,AutoSMC + Freq-Domain Aug (Method 5),6
-51.7034,14.6788,3,BPSK,AutoSMC + Freq-Domain Aug (Method 5),6
-23.1341,35.4083,5,GFSK,AutoSMC + Freq-Domain Aug (Method 5),6
-19.6113,-40.0500,0,8PSK,AutoSMC + Freq-Domain Aug (Method 5),6
46.8716,0.1216,6,PAM4,AutoSMC + Freq-Domain Aug (Method 5),6
14.9452,-37.2330,7,QAM16,AutoSMC + Freq-Domain Aug (Method 5),6
7.6049,-37.7048,7,QAM16,AutoSMC + Freq-Domain Aug (Method 5),6
4.9919,28.7377,1,AM-DSB,AutoSMC + Freq-Domain Aug (Method 5),6
28.1713,-29.5563,8,QAM64,AutoSMC + Freq-Domain Aug (Method 5),6
51.4554,7.4576,6,PAM4,AutoSMC + Freq-Domain Aug (Method 5),6
14.0737,-31.3345,7,QAM16,AutoSMC + Freq-Domain Aug (Method 5),6
7.4422,44.4678,1,AM-DSB,AutoSMC + Freq-Domain Aug (Method 5),6
7.6633,43.0684,10,WBFM,AutoSMC + Freq-Domain Aug (Method 5),6
-49.9870,0.7254,3,BPSK,AutoSMC + Freq-Domain Aug (Method 5),6
-15.9324,-36.3544,0,8PSK,AutoSMC + Freq-Domain Aug (Method 5),6
-16.5397,-37.0921,0,8PSK,AutoSMC + Freq-Domain Aug (Method 5),6
-22.0587,31.8746,5,GFSK,AutoSMC + Freq-Domain Aug (Method 5),6
-28.0230,-29.8591,9,QPSK,AutoSMC + Freq-Domain Aug (Method 5),6
7.6576,-33.6789,7,QAM16,AutoSMC + Freq-Domain Aug (Method 5),6
48.6193,3.4897,6,PAM4,AutoSMC + Freq-Domain Aug (Method 5),6
