epoch,loss,aug
1,1.774665,AutoSMC + IQ-Mixup (Method 1)
2,1.541908,AutoSMC + IQ-Mixup (Method 1)
3,1.496495,AutoSMC + IQ-Mixup (Method 1)
4,1.403190,AutoSMC + IQ-Mixup (Method 1)
5,1.373053,AutoSMC + IQ-Mixup (Method 1)
6,1.327970,AutoSMC + IQ-Mixup (Method 1)
7,1.333691,AutoSMC + IQ-Mixup (Method 1)
8,1.321624,AutoSMC + IQ-Mixup (Method 1)
9,1.311525,AutoSMC + IQ-Mixup (Method 1)
10,1.296830,AutoSMC + IQ-Mixup (Method 1)
11,1.302896,AutoSMC + IQ-Mixup (Method 1)
12,1.291844,AutoSMC + IQ-Mixup (Method 1)
13,1.295335,AutoSMC + IQ-Mixup (Method 1)
14,1.312163,AutoSMC + IQ-Mixup (Method 1)
15,1.268503,AutoSMC + IQ-Mixup (Method 1)
16,1.278417,AutoSMC + IQ-Mixup (Method 1)
17,1.294571,AutoSMC + IQ-Mixup (Method 1)
18,1.274597,AutoSMC + IQ-Mixup (Method 1)
19,1.244852,AutoSMC + IQ-Mixup (Method 1)
20,1.255359,AutoSMC + IQ-Mixup (Method 1)
21,1.273017,AutoSMC + IQ-Mixup (Method 1)
22,1.255117,AutoSMC + IQ-Mixup (Method 1)
23,1.264660,AutoSMC + IQ-Mixup (Method 1)
24,1.236084,AutoSMC + IQ-Mixup (Method 1)
25,1.230218,AutoSMC + IQ-Mixup (Method 1)
26,1.237235,AutoSMC + IQ-Mixup (Method 1)
27,1.261410,AutoSMC + IQ-Mixup (Method 1)
28,1.240288,AutoSMC + IQ-Mixup (Method 1)
29,1.227779,AutoSMC + IQ-Mixup (Method 1)
30,1.221937,AutoSMC + IQ-Mixup (Method 1)
31,1.197168,AutoSMC + IQ-Mixup (Method 1)
32,1.205026,AutoSMC + IQ-Mixup (Method 1)
33,1.212631,AutoSMC + IQ-Mixup (Method 1)
34,1.233124,AutoSMC + IQ-Mixup (Method 1)
35,1.203303,AutoSMC + IQ-Mixup (Method 1)
36,1.183533,AutoSMC + IQ-Mixup (Method 1)
37,1.199392,AutoSMC + IQ-Mixup (Method 1)
38,1.228326,AutoSMC + IQ-Mixup (Method 1)
39,1.217302,AutoSMC + IQ-Mixup (Method 1)
40,1.222617,AutoSMC + IQ-Mixup (Method 1)
41,1.182442,AutoSMC + IQ-Mixup (Method 1)
42,1.207133,AutoSMC + IQ-Mixup (Method 1)
43,1.197188,AutoSMC + IQ-Mixup (Method 1)
44,1.203956,AutoSMC + IQ-Mixup (Method 1)
45,1.189248,AutoSMC + IQ-Mixup (Method 1)
46,1.172991,AutoSMC + IQ-Mixup (Method 1)
47,1.213187,AutoSMC + IQ-Mixup (Method 1)
48,1.190715,AutoSMC + IQ-Mixup (Method 1)
49,1.191665,AutoSMC + IQ-Mixup (Method 1)
50,1.172044,AutoSMC + IQ-Mixup (Method 1)
51,1.150188,AutoSMC + IQ-Mixup (Method 1)
52,1.182717,AutoSMC + IQ-Mixup (Method 1)
53,1.176377,AutoSMC + IQ-Mixup (Method 1)
54,1.182861,AutoSMC + IQ-Mixup (Method 1)
55,1.147626,AutoSMC + IQ-Mixup (Method 1)
56,1.178089,AutoSMC + IQ-Mixup (Method 1)
57,1.151087,AutoSMC + IQ-Mixup (Method 1)
58,1.176951,AutoSMC + IQ-Mixup (Method 1)
59,1.174138,AutoSMC + IQ-Mixup (Method 1)
60,1.195225,AutoSMC + IQ-Mixup (Method 1)
61,1.161372,AutoSMC + IQ-Mixup (Method 1)
62,1.148057,AutoSMC + IQ-Mixup (Method 1)
63,1.151557,AutoSMC + IQ-Mixup (Method 1)
