snr,seed,trial,epoch,loss,f1,lr,aug,timestamp
-2,-1,0,1,1.744600,0.015152,1.00e-03,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:39:26.297510
-2,-1,0,2,1.480535,0.015152,1.00e-03,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:39:46.424408
-2,-1,0,3,1.455954,0.036126,9.99e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:40:05.976705
-2,-1,0,4,1.381818,0.023102,9.98e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:40:25.490558
-2,-1,0,5,1.383700,0.102126,9.97e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:40:45.101740
-2,-1,0,6,1.350678,0.206983,9.96e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:41:04.476322
-2,-1,0,7,1.336859,0.224596,9.94e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:41:23.718452
-2,-1,0,8,1.332059,0.508634,9.92e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:41:43.070738
-2,-1,0,9,1.336883,0.522346,9.89e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:42:02.586093
-2,-1,0,10,1.314871,0.731450,9.86e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:42:21.954418
-2,-1,0,11,1.313049,0.646318,9.83e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:42:41.227309
-2,-1,0,12,1.296263,0.666558,9.80e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:43:00.500342
-2,-1,0,13,1.307591,0.629511,9.76e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:43:19.762456
-2,-1,0,14,1.275512,0.690118,9.72e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:43:39.024314
-2,-1,0,15,1.277560,0.746095,9.67e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:43:58.363302
-2,-1,0,16,1.265990,0.742779,9.62e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:44:17.617010
-2,-1,0,17,1.236716,0.725596,9.57e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:44:36.754378
-2,-1,0,18,1.255823,0.713599,9.52e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:44:56.183299
-2,-1,0,19,1.268053,0.587369,9.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:45:15.520721
-2,-1,0,20,1.236842,0.624107,9.40e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:45:34.898239
-2,-1,0,21,1.280114,0.791154,9.34e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:45:54.250745
-2,-1,0,22,1.273484,0.727659,9.27e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:46:13.453451
-2,-1,0,23,1.244457,0.749494,9.20e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:46:32.717633
-2,-1,0,24,1.214633,0.564890,9.13e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:46:51.950654
-2,-1,0,25,1.224011,0.746320,9.05e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:47:11.178407
-2,-1,0,26,1.247152,0.684332,8.98e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:47:30.336106
-2,-1,0,27,1.236205,0.759894,8.90e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:47:49.800380
-2,-1,0,28,1.247543,0.647055,8.81e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:48:09.836089
-2,-1,0,29,1.198797,0.680011,8.73e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:48:29.228266
-2,-1,0,30,1.222458,0.756451,8.64e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:48:48.612563
-2,-1,0,31,1.204876,0.690820,8.55e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:49:07.907665
-2,-1,0,32,1.232310,0.634361,8.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:49:27.339639
-2,-1,0,33,1.224626,0.761071,8.36e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:49:46.846235
-2,-1,0,34,1.220163,0.698361,8.26e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:50:06.635803
-2,-1,0,35,1.203580,0.683479,8.17e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:50:25.956851
-2,-1,0,36,1.222125,0.784531,8.06e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:50:45.457917
-2,-1,0,37,1.190515,0.784918,7.96e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:51:04.574196
-2,-1,0,38,1.184832,0.688033,7.85e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:51:23.717544
-2,-1,0,39,1.185175,0.699204,7.75e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:51:42.795608
-2,-1,0,40,1.182282,0.603818,7.64e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:52:02.254535
-2,-1,0,41,1.178693,0.778732,7.52e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:52:21.698207
-2,-1,0,42,1.165702,0.785946,7.41e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:52:40.911447
-2,-1,0,43,1.176577,0.720537,7.30e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:53:00.400129
-2,-1,0,44,1.152396,0.799745,7.18e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:53:19.953583
-2,-1,0,45,1.185685,0.777979,7.06e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:53:39.634643
-2,-1,0,46,1.186078,0.786836,6.94e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:53:59.027936
-2,-1,0,47,1.205131,0.773363,6.82e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:54:18.269540
-2,-1,0,48,1.176053,0.780041,6.70e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:54:37.524546
-2,-1,0,49,1.137002,0.741955,6.58e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:54:56.961902
-2,-1,0,50,1.197464,0.668470,6.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:55:16.571791
-2,-1,0,51,1.146661,0.760318,6.33e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:55:35.840488
-2,-1,0,52,1.183549,0.763036,6.21e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:55:55.212046
-2,-1,0,53,1.140284,0.762374,6.08e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:56:14.745460
-2,-1,0,54,1.168989,0.719610,5.95e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:56:34.190716
-2,-1,0,55,1.146184,0.753639,5.82e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:56:53.408191
-2,-1,0,56,1.145200,0.743240,5.70e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:57:12.595035
-2,-1,0,57,1.131651,0.780770,5.57e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:57:31.862335
-2,-1,0,58,1.131839,0.781564,5.44e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:57:51.357570
-2,-1,0,59,1.141864,0.654397,5.31e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:58:10.824723
-2,-1,0,60,1.125373,0.706640,5.18e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:58:30.240558
-2,-1,0,61,1.142598,0.649199,5.05e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:58:49.252691
-2,-1,0,62,1.102425,0.712594,4.92e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:59:08.697692
-2,-1,0,63,1.112317,0.770940,4.79e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:59:28.057424
-2,-1,0,64,1.133805,0.783242,4.66e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:59:47.093213
-2,-1,0,65,1.086725,0.741264,4.53e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:00:06.519177
-2,-1,0,66,1.113781,0.797856,4.40e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:00:26.055852
-2,-1,0,67,1.088859,0.789794,4.28e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:00:45.306326
-2,-1,0,68,1.106083,0.772877,4.15e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:01:04.421598
-2,-1,0,69,1.111141,0.795526,4.02e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:01:23.959329
-2,-1,0,70,1.087025,0.780270,3.89e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:01:43.250454
-2,-1,0,71,1.103414,0.791929,3.77e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:02:02.530263
-2,-1,0,72,1.112372,0.807027,3.64e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:02:21.683744
-2,-1,0,73,1.094284,0.782044,3.52e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:02:40.793974
-2,-1,0,74,1.087675,0.780664,3.40e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:03:00.261648
-2,-1,0,75,1.099285,0.790130,3.28e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:03:20.075333
-2,-1,0,76,1.080888,0.809889,3.16e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:03:39.068499
-2,-1,0,77,1.079987,0.799972,3.04e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:03:58.257372
-2,-1,0,78,1.075297,0.802179,2.92e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:04:17.421290
-2,-1,0,79,1.057065,0.800997,2.80e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:04:36.593907
-2,-1,0,80,1.066464,0.809382,2.69e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:04:55.803219
-2,-1,0,81,1.062769,0.779380,2.58e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:05:15.083680
-2,-1,0,82,1.079029,0.806244,2.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:05:34.507677
-2,-1,0,83,1.068184,0.784815,2.35e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:05:53.715673
-2,-1,0,84,1.062260,0.811990,2.25e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:06:12.885820
-2,-1,0,85,1.072528,0.799542,2.14e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:06:32.296802
-2,-1,0,86,1.054944,0.798679,2.04e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:06:51.370354
-2,-1,0,87,1.065409,0.802204,1.93e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:07:10.848344
-2,-1,0,88,1.045613,0.799489,1.84e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:07:29.974402
-2,-1,0,89,1.041355,0.788822,1.74e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:07:49.366108
-2,-1,0,90,1.070097,0.815872,1.64e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:08:08.915712
-2,-1,0,91,1.071964,0.809052,1.55e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:08:27.988355
-2,-1,0,92,1.059521,0.813547,1.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:08:47.278607
-2,-1,0,93,1.052272,0.801951,1.37e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:09:06.495823
