tsne1,tsne2,class_idx,class_name,aug,snr
10.1856,51.5295,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-2
-47.1793,21.0177,6,PAM4,AutoSMC + IQ-Mixup (Method 1),-2
-33.4732,-4.6807,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-2
-15.5795,-39.7499,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-2
29.5780,-7.2543,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-2
-13.8874,-45.2113,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-2
18.2296,-42.7894,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-2
-36.1986,19.0087,6,PAM4,AutoSMC + IQ-Mixup (Method 1),-2
-9.3541,1.9140,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-2
-33.8274,-12.4333,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-2
34.9181,-8.9389,0,8PSK,AutoSMC + IQ-Mixup (Method 1),-2
36.7628,-13.9724,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-2
-40.4405,23.3319,6,PAM4,AutoSMC + IQ-Mixup (Method 1),-2
6.6281,48.0988,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-2
-37.6983,-15.9776,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-2
-10.1025,28.2418,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-2
14.2398,49.0932,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-2
16.3946,-35.0437,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-2
13.8394,-34.5751,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-2
-38.3810,12.1866,6,PAM4,AutoSMC + IQ-Mixup (Method 1),-2
-33.6867,-6.1461,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-2
32.3745,22.2218,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),-2
10.2468,47.3600,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-2
-3.6983,-1.2952,5,GFSK,AutoSMC + IQ-Mixup (Method 1),-2
28.1265,17.6027,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),-2
-33.3214,-19.7263,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-2
-9.5231,36.5092,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-2
21.4937,-30.7362,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-2
-21.1826,-11.9402,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-2
14.6090,-39.6486,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-2
-10.0443,-42.7666,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-2
19.6216,-42.6633,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-2
-14.7698,-38.4812,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-2
23.6256,17.8194,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),-2
39.7105,-7.6711,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-2
3.5203,2.4547,5,GFSK,AutoSMC + IQ-Mixup (Method 1),-2
-34.4086,-5.7758,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-2
-36.4461,-9.2489,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-2
-13.8531,39.6549,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-2
-19.8829,-6.8265,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-2
27.5965,-0.8283,0,8PSK,AutoSMC + IQ-Mixup (Method 1),-2
