epoch,loss,aug
1,1.730542,AutoSMC + IQ-Mixup (Method 1)
2,1.458584,AutoSMC + IQ-Mixup (Method 1)
3,1.424246,AutoSMC + IQ-Mixup (Method 1)
4,1.347890,AutoSMC + IQ-Mixup (Method 1)
5,1.335149,AutoSMC + IQ-Mixup (Method 1)
6,1.301166,AutoSMC + IQ-Mixup (Method 1)
7,1.287039,AutoSMC + IQ-Mixup (Method 1)
8,1.280382,AutoSMC + IQ-Mixup (Method 1)
9,1.269664,AutoSMC + IQ-Mixup (Method 1)
10,1.270032,AutoSMC + IQ-Mixup (Method 1)
11,1.259165,AutoSMC + IQ-Mixup (Method 1)
12,1.248346,AutoSMC + IQ-Mixup (Method 1)
13,1.249094,AutoSMC + IQ-Mixup (Method 1)
14,1.256272,AutoSMC + IQ-Mixup (Method 1)
15,1.211682,AutoSMC + IQ-Mixup (Method 1)
16,1.217350,AutoSMC + IQ-Mixup (Method 1)
17,1.247403,AutoSMC + IQ-Mixup (Method 1)
18,1.221883,AutoSMC + IQ-Mixup (Method 1)
19,1.194466,AutoSMC + IQ-Mixup (Method 1)
20,1.194276,AutoSMC + IQ-Mixup (Method 1)
21,1.205742,AutoSMC + IQ-Mixup (Method 1)
22,1.195260,AutoSMC + IQ-Mixup (Method 1)
23,1.197764,AutoSMC + IQ-Mixup (Method 1)
24,1.170236,AutoSMC + IQ-Mixup (Method 1)
25,1.170431,AutoSMC + IQ-Mixup (Method 1)
26,1.169904,AutoSMC + IQ-Mixup (Method 1)
27,1.187915,AutoSMC + IQ-Mixup (Method 1)
28,1.175427,AutoSMC + IQ-Mixup (Method 1)
29,1.155142,AutoSMC + IQ-Mixup (Method 1)
30,1.152983,AutoSMC + IQ-Mixup (Method 1)
31,1.130594,AutoSMC + IQ-Mixup (Method 1)
32,1.133405,AutoSMC + IQ-Mixup (Method 1)
33,1.142044,AutoSMC + IQ-Mixup (Method 1)
34,1.167787,AutoSMC + IQ-Mixup (Method 1)
35,1.138296,AutoSMC + IQ-Mixup (Method 1)
36,1.114602,AutoSMC + IQ-Mixup (Method 1)
37,1.148112,AutoSMC + IQ-Mixup (Method 1)
38,1.143312,AutoSMC + IQ-Mixup (Method 1)
39,1.153637,AutoSMC + IQ-Mixup (Method 1)
40,1.162288,AutoSMC + IQ-Mixup (Method 1)
41,1.113695,AutoSMC + IQ-Mixup (Method 1)
42,1.137107,AutoSMC + IQ-Mixup (Method 1)
43,1.125012,AutoSMC + IQ-Mixup (Method 1)
