snr,seed,trial,epoch,loss,f1,lr,aug,timestamp
6,-1,0,1,1.814968,0.015152,1.00e-03,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:42:01.010914
6,-1,0,2,1.479419,0.016205,1.00e-03,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:42:21.476754
6,-1,0,3,1.402652,0.016635,9.99e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:42:41.710739
6,-1,0,4,1.358376,0.036694,9.98e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:43:01.675127
6,-1,0,5,1.333058,0.015152,9.97e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:43:22.006937
6,-1,0,6,1.322882,0.146706,9.96e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:43:42.224716
6,-1,0,7,1.311026,0.031233,9.94e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:44:02.430686
6,-1,0,8,1.297083,0.189082,9.92e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:44:22.562136
6,-1,0,9,1.304357,0.762000,9.89e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:44:42.717945
6,-1,0,10,1.266726,0.528608,9.86e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:45:03.027111
6,-1,0,11,1.277060,0.125052,9.83e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:45:23.116364
6,-1,0,12,1.268090,0.503885,9.80e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:45:43.525659
6,-1,0,13,1.267143,0.313960,9.76e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:46:03.965817
6,-1,0,14,1.226230,0.436357,9.72e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:46:24.496347
6,-1,0,15,1.229296,0.778693,9.67e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:46:44.852486
6,-1,0,16,1.215220,0.634361,9.62e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:47:05.205440
6,-1,0,17,1.193563,0.107904,9.57e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:47:25.912497
6,-1,0,18,1.208857,0.503291,9.52e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:47:45.985374
6,-1,0,19,1.224166,0.516334,9.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:48:06.378874
6,-1,0,20,1.205444,0.690832,9.40e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:48:27.005642
6,-1,0,21,1.222827,0.680215,9.34e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:48:47.373816
6,-1,0,22,1.225786,0.105145,9.27e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:49:08.050764
6,-1,0,23,1.204036,0.792293,9.20e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:49:28.940912
6,-1,0,24,1.175645,0.183147,9.13e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:49:49.329303
6,-1,0,25,1.175232,0.105145,9.05e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:50:10.138138
6,-1,0,26,1.200921,0.256069,8.98e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:50:31.075651
6,-1,0,27,1.195269,0.493839,8.90e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:50:51.359296
6,-1,0,28,1.207989,0.725361,8.81e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:51:11.767458
6,-1,0,29,1.145508,0.515494,8.73e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:51:32.238742
