tsne1,tsne2,class_idx,class_name,aug,snr
-31.5752,-21.2860,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
31.4506,-21.1317,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
45.2647,-7.3568,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
28.8331,27.3385,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-36.9687,18.9153,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
-7.9071,-2.3288,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
-35.9146,-7.8712,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
26.0158,17.8423,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
43.9369,-3.5906,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-0.1134,43.8572,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
24.1457,-22.7455,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
8.2008,-0.6607,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
-11.4181,3.7776,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
-29.9130,-27.1290,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
5.6687,0.9747,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
2.4570,46.9481,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
26.4624,-25.4200,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
30.3064,-21.3129,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
-4.3649,-40.7208,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
29.5445,26.7349,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-31.3843,-18.4116,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
-31.4183,-15.5699,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
28.7787,21.1444,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-0.3268,-37.3576,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
-30.3293,-21.9661,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
-35.1242,-13.5575,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
33.9443,22.5517,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-9.1511,9.7196,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
48.7940,1.9399,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-7.3320,0.1788,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
-25.0894,-28.5624,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
-39.3851,25.1652,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
8.3777,3.5572,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
43.4014,0.3160,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-15.0312,4.3350,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
36.0851,23.2981,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
47.2965,1.1526,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-10.8454,0.2892,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
2.4773,45.0684,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
11.3366,-3.3785,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
6.8222,47.6006,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
47.7631,-2.4771,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
14.5501,4.0060,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
-5.2977,35.4260,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
-4.3243,42.4328,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
30.0334,25.2970,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
3.3109,50.5077,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
9.2565,-3.4576,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
-34.1893,-19.4329,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
14.6860,2.0197,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
-4.5982,31.8673,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
29.3419,-21.1190,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
11.0834,-0.0989,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
3.9552,34.8704,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
28.7771,-22.3340,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
43.7605,-5.3346,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-31.8553,-23.9101,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
5.7959,45.0163,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
42.3410,-8.1752,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-35.2828,-5.2600,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
-7.6978,1.7856,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
6.0288,-3.4828,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
-5.9187,40.6332,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
30.9668,-26.1210,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
-41.6432,16.3279,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
2.7909,40.4537,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
15.0662,3.2587,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
32.8646,26.5575,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
40.2318,-9.1587,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
10.3845,4.3088,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
9.2929,49.7762,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
-0.9967,-40.5665,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
27.6469,-28.1065,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
29.6225,21.3098,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
-16.8195,-1.7256,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
30.1797,-26.5467,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
-6.6472,26.5658,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
-12.2512,-4.4506,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
-32.8765,19.6195,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
-5.0113,37.2434,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
12.9475,-4.8296,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
-41.1506,-9.6152,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
-0.4934,-44.4854,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
0.4994,-44.0814,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
-31.8039,22.8532,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
-35.8622,-17.5790,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
28.7871,18.6165,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
29.0394,23.8476,6,PAM4,AutoSMC + IQ-Mixup (Method 1),6
8.4066,42.2707,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
12.3536,-7.7992,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
-39.7102,23.2984,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
-2.2418,-38.3335,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
-5.4171,25.3821,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
25.7845,-20.6465,7,QAM16,AutoSMC + IQ-Mixup (Method 1),6
43.9845,-4.9225,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-32.8287,-23.5542,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
4.4619,-45.4740,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),6
9.4157,48.6044,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),6
-17.2649,1.4042,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
-12.8891,-0.3635,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
-32.1155,18.9053,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
-32.5287,23.5472,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
-32.1525,-26.2023,9,QPSK,AutoSMC + IQ-Mixup (Method 1),6
-10.1465,6.8810,5,GFSK,AutoSMC + IQ-Mixup (Method 1),6
-6.7151,40.5600,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
2.8781,37.7635,10,WBFM,AutoSMC + IQ-Mixup (Method 1),6
6.1745,1.3639,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),6
40.8815,-5.1414,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-38.1161,19.2154,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
48.5149,-5.0739,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-34.1646,20.7935,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
-36.7426,23.4864,3,BPSK,AutoSMC + IQ-Mixup (Method 1),6
48.4713,1.2320,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
-39.5987,-12.0669,0,8PSK,AutoSMC + IQ-Mixup (Method 1),6
50.1896,1.9814,8,QAM64,AutoSMC + IQ-Mixup (Method 1),6
