tsne1,tsne2,class_idx,class_name,aug,snr
-19.9770,-0.8705,2,AM-SSB,AutoSMC + All Methods (1+4+5 Combined),2
-45.2066,17.7574,3,BPSK,AutoSMC + All Methods (1+4+5 Combined),2
-22.5639,-20.2059,0,8PSK,AutoSMC + All Methods (1+4+5 Combined),2
3.5115,-50.5223,4,CPFSK,AutoSMC + All Methods (1+4+5 Combined),2
-3.1821,27.3024,1,AM-DSB,AutoSMC + All Methods (1+4+5 Combined),2
-27.6721,-29.7566,0,8PSK,AutoSMC + All Methods (1+4+5 Combined),2
27.7582,26.9877,6,PAM4,AutoSMC + All Methods (1+4+5 Combined),2
9.4690,-2.9054,5,GFSK,AutoSMC + All Methods (1+4+5 Combined),2
1.6140,-48.1753,4,CPFSK,AutoSMC + All Methods (1+4+5 Combined),2
8.4927,-10.1386,5,GFSK,AutoSMC + All Methods (1+4+5 Combined),2
-45.7246,-11.5509,9,QPSK,AutoSMC + All Methods (1+4+5 Combined),2
-8.2170,44.5894,1,AM-DSB,AutoSMC + All Methods (1+4+5 Combined),2
-23.7234,-28.8220,0,8PSK,AutoSMC + All Methods (1+4+5 Combined),2
-11.6757,7.7280,2,AM-SSB,AutoSMC + All Methods (1+4+5 Combined),2
34.4192,26.4718,6,PAM4,AutoSMC + All Methods (1+4+5 Combined),2
3.9103,33.7624,1,AM-DSB,AutoSMC + All Methods (1+4+5 Combined),2
3.7668,35.8029,10,WBFM,AutoSMC + All Methods (1+4+5 Combined),2
27.2168,29.8353,6,PAM4,AutoSMC + All Methods (1+4+5 Combined),2
8.6918,-4.7439,5,GFSK,AutoSMC + All Methods (1+4+5 Combined),2
-23.7640,-25.6871,0,8PSK,AutoSMC + All Methods (1+4+5 Combined),2
3.3282,-9.2645,5,GFSK,AutoSMC + All Methods (1+4+5 Combined),2
1.8427,-41.9065,4,CPFSK,AutoSMC + All Methods (1+4+5 Combined),2
-12.6523,6.4812,2,AM-SSB,AutoSMC + All Methods (1+4+5 Combined),2
-23.1187,-23.3927,0,8PSK,AutoSMC + All Methods (1+4+5 Combined),2
-25.1055,-25.9754,0,8PSK,AutoSMC + All Methods (1+4+5 Combined),2
27.0042,31.8086,6,PAM4,AutoSMC + All Methods (1+4+5 Combined),2
-3.1397,30.8293,1,AM-DSB,AutoSMC + All Methods (1+4+5 Combined),2
45.3489,-0.7630,8,QAM64,AutoSMC + All Methods (1+4+5 Combined),2
51.8377,9.0626,8,QAM64,AutoSMC + All Methods (1+4+5 Combined),2
-1.7634,30.6159,1,AM-DSB,AutoSMC + All Methods (1+4+5 Combined),2
-6.3079,45.9079,1,AM-DSB,AutoSMC + All Methods (1+4+5 Combined),2
