epoch,loss,aug
1,2.129026,AutoSMC + All Methods (1+4+5 Combined)
2,1.956855,AutoSMC + All Methods (1+4+5 Combined)
3,1.930336,AutoSMC + All Methods (1+4+5 Combined)
4,1.844690,AutoSMC + All Methods (1+4+5 Combined)
5,1.809835,AutoSMC + All Methods (1+4+5 Combined)
6,1.769565,AutoSMC + All Methods (1+4+5 Combined)
7,1.752496,AutoSMC + All Methods (1+4+5 Combined)
8,1.794022,AutoSMC + All Methods (1+4+5 Combined)
9,1.631195,AutoSMC + All Methods (1+4+5 Combined)
10,1.770373,AutoSMC + All Methods (1+4+5 Combined)
11,1.712331,AutoSMC + All Methods (1+4+5 Combined)
12,1.724640,AutoSMC + All Methods (1+4+5 Combined)
13,1.689457,AutoSMC + All Methods (1+4+5 Combined)
14,1.669097,AutoSMC + All Methods (1+4+5 Combined)
15,1.664378,AutoSMC + All Methods (1+4+5 Combined)
16,1.625797,AutoSMC + All Methods (1+4+5 Combined)
17,1.681544,AutoSMC + All Methods (1+4+5 Combined)
18,1.685954,AutoSMC + All Methods (1+4+5 Combined)
19,1.665195,AutoSMC + All Methods (1+4+5 Combined)
20,1.634343,AutoSMC + All Methods (1+4+5 Combined)
21,1.614663,AutoSMC + All Methods (1+4+5 Combined)
22,1.666289,AutoSMC + All Methods (1+4+5 Combined)
23,1.596419,AutoSMC + All Methods (1+4+5 Combined)
24,1.617652,AutoSMC + All Methods (1+4+5 Combined)
25,1.605258,AutoSMC + All Methods (1+4+5 Combined)
26,1.660133,AutoSMC + All Methods (1+4+5 Combined)
27,1.650671,AutoSMC + All Methods (1+4+5 Combined)
28,1.596364,AutoSMC + All Methods (1+4+5 Combined)
29,1.594984,AutoSMC + All Methods (1+4+5 Combined)
30,1.560246,AutoSMC + All Methods (1+4+5 Combined)
31,1.626128,AutoSMC + All Methods (1+4+5 Combined)
32,1.629345,AutoSMC + All Methods (1+4+5 Combined)
33,1.581170,AutoSMC + All Methods (1+4+5 Combined)
34,1.579490,AutoSMC + All Methods (1+4+5 Combined)
35,1.577328,AutoSMC + All Methods (1+4+5 Combined)
36,1.516072,AutoSMC + All Methods (1+4+5 Combined)
37,1.615174,AutoSMC + All Methods (1+4+5 Combined)
38,1.616589,AutoSMC + All Methods (1+4+5 Combined)
39,1.539489,AutoSMC + All Methods (1+4+5 Combined)
40,1.578953,AutoSMC + All Methods (1+4+5 Combined)
41,1.536617,AutoSMC + All Methods (1+4+5 Combined)
42,1.557570,AutoSMC + All Methods (1+4+5 Combined)
43,1.554967,AutoSMC + All Methods (1+4+5 Combined)
44,1.564780,AutoSMC + All Methods (1+4+5 Combined)
45,1.528650,AutoSMC + All Methods (1+4+5 Combined)
46,1.594446,AutoSMC + All Methods (1+4+5 Combined)
47,1.582688,AutoSMC + All Methods (1+4+5 Combined)
48,1.569184,AutoSMC + All Methods (1+4+5 Combined)
49,1.530782,AutoSMC + All Methods (1+4+5 Combined)
50,1.520826,AutoSMC + All Methods (1+4+5 Combined)
51,1.527555,AutoSMC + All Methods (1+4+5 Combined)
52,1.542990,AutoSMC + All Methods (1+4+5 Combined)
53,1.514124,AutoSMC + All Methods (1+4+5 Combined)
54,1.491053,AutoSMC + All Methods (1+4+5 Combined)
55,1.528961,AutoSMC + All Methods (1+4+5 Combined)
56,1.548205,AutoSMC + All Methods (1+4+5 Combined)
57,1.566157,AutoSMC + All Methods (1+4+5 Combined)
58,1.510347,AutoSMC + All Methods (1+4+5 Combined)
59,1.539687,AutoSMC + All Methods (1+4+5 Combined)
60,1.583601,AutoSMC + All Methods (1+4+5 Combined)
61,1.561157,AutoSMC + All Methods (1+4+5 Combined)
62,1.540251,AutoSMC + All Methods (1+4+5 Combined)
63,1.541431,AutoSMC + All Methods (1+4+5 Combined)
64,1.498231,AutoSMC + All Methods (1+4+5 Combined)
65,1.569203,AutoSMC + All Methods (1+4+5 Combined)
66,1.491195,AutoSMC + All Methods (1+4+5 Combined)
67,1.505053,AutoSMC + All Methods (1+4+5 Combined)
68,1.543627,AutoSMC + All Methods (1+4+5 Combined)
69,1.493554,AutoSMC + All Methods (1+4+5 Combined)
70,1.483357,AutoSMC + All Methods (1+4+5 Combined)
71,1.554868,AutoSMC + All Methods (1+4+5 Combined)
72,1.520188,AutoSMC + All Methods (1+4+5 Combined)
73,1.503326,AutoSMC + All Methods (1+4+5 Combined)
74,1.520650,AutoSMC + All Methods (1+4+5 Combined)
75,1.503079,AutoSMC + All Methods (1+4+5 Combined)
