snr,seed,trial,epoch,loss,f1,lr,aug,timestamp
6,-1,0,1,2.145486,0.015152,1.00e-03,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:47:59.014585
6,-1,0,2,2.030120,0.015389,1.00e-03,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:48:19.745002
6,-1,0,3,1.938446,0.015152,9.99e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:48:40.805880
6,-1,0,4,1.907529,0.015152,9.98e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:49:01.329901
6,-1,0,5,1.848668,0.025708,9.97e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:49:22.190597
6,-1,0,6,1.804412,0.019356,9.96e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:49:42.579338
6,-1,0,7,1.794144,0.046977,9.94e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:50:03.634865
6,-1,0,8,1.723752,0.087116,9.92e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:50:24.150789
6,-1,0,9,1.728124,0.472394,9.89e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:50:44.977981
6,-1,0,10,1.675333,0.413112,9.86e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:51:05.605121
6,-1,0,11,1.764264,0.249380,9.83e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:51:26.156820
6,-1,0,12,1.726367,0.503328,9.80e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:51:46.351424
6,-1,0,13,1.688947,0.702552,9.76e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:52:06.585510
6,-1,0,14,1.671781,0.172009,9.72e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:52:26.953347
6,-1,0,15,1.683679,0.566201,9.67e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:52:47.227519
6,-1,0,16,1.656810,0.602673,9.62e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:53:07.608109
6,-1,0,17,1.636229,0.680786,9.57e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:53:28.045717
6,-1,0,18,1.668427,0.213944,9.52e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:53:48.192351
6,-1,0,19,1.632560,0.462571,9.46e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:54:08.337526
6,-1,0,20,1.600111,0.661593,9.40e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:54:28.532846
6,-1,0,21,1.622532,0.576072,9.34e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:54:48.983048
6,-1,0,22,1.628899,0.524888,9.27e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:55:09.106162
6,-1,0,23,1.647015,0.173706,9.20e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:55:29.378744
6,-1,0,24,1.591041,0.483652,9.13e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:55:49.655885
6,-1,0,25,1.554156,0.651093,9.05e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:56:10.230120
6,-1,0,26,1.571470,0.730530,8.98e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:56:30.757002
6,-1,0,27,1.612853,0.184603,8.90e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:56:51.157949
6,-1,0,28,1.580239,0.475021,8.81e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:57:11.281323
6,-1,0,29,1.611760,0.480356,8.73e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:57:31.375449
6,-1,0,30,1.582058,0.725490,8.64e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:57:51.622893
6,-1,0,31,1.564433,0.503785,8.55e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:58:12.168150
6,-1,0,32,1.536679,0.431560,8.46e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:58:32.166445
6,-1,0,33,1.641634,0.566514,8.36e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:58:52.404853
6,-1,0,34,1.588890,0.509231,8.26e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:59:12.732271
6,-1,0,35,1.566462,0.711043,8.17e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:59:32.879216
6,-1,0,36,1.559092,0.737884,8.06e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T14:59:53.107008
6,-1,0,37,1.598841,0.537162,7.96e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T15:00:13.151293
6,-1,0,38,1.547743,0.796171,7.85e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T15:00:33.298814
6,-1,0,39,1.599333,0.649434,7.75e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T15:00:53.500478
6,-1,0,40,1.553924,0.639206,7.64e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T15:01:13.598628
6,-1,0,41,1.530017,0.746232,7.52e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T15:01:33.927953
6,-1,0,42,1.573941,0.810485,7.41e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T15:01:53.944597
6,-1,0,43,1.535065,0.498231,7.30e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T15:02:14.831571
6,-1,0,44,1.579843,0.308356,7.18e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T15:02:35.511991
6,-1,0,45,1.593518,0.664773,7.06e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T15:02:56.390830
6,-1,0,46,1.531019,0.164964,6.94e-04,AutoSMC + All Methods (1+4+5 Combined),2026-04-24T15:03:17.000504
