epoch,loss,aug
1,1.924793,AutoSMC + IQ-Mixup (Method 1)
2,1.711955,AutoSMC + IQ-Mixup (Method 1)
3,1.686639,AutoSMC + IQ-Mixup (Method 1)
4,1.627540,AutoSMC + IQ-Mixup (Method 1)
5,1.592163,AutoSMC + IQ-Mixup (Method 1)
6,1.579683,AutoSMC + IQ-Mixup (Method 1)
7,1.563009,AutoSMC + IQ-Mixup (Method 1)
8,1.546584,AutoSMC + IQ-Mixup (Method 1)
9,1.536140,AutoSMC + IQ-Mixup (Method 1)
10,1.500874,AutoSMC + IQ-Mixup (Method 1)
11,1.503309,AutoSMC + IQ-Mixup (Method 1)
12,1.477151,AutoSMC + IQ-Mixup (Method 1)
13,1.482070,AutoSMC + IQ-Mixup (Method 1)
14,1.493345,AutoSMC + IQ-Mixup (Method 1)
15,1.446310,AutoSMC + IQ-Mixup (Method 1)
16,1.451874,AutoSMC + IQ-Mixup (Method 1)
17,1.461984,AutoSMC + IQ-Mixup (Method 1)
18,1.431514,AutoSMC + IQ-Mixup (Method 1)
19,1.395118,AutoSMC + IQ-Mixup (Method 1)
20,1.404230,AutoSMC + IQ-Mixup (Method 1)
21,1.413531,AutoSMC + IQ-Mixup (Method 1)
22,1.387672,AutoSMC + IQ-Mixup (Method 1)
23,1.391628,AutoSMC + IQ-Mixup (Method 1)
24,1.346040,AutoSMC + IQ-Mixup (Method 1)
25,1.348111,AutoSMC + IQ-Mixup (Method 1)
26,1.346752,AutoSMC + IQ-Mixup (Method 1)
27,1.364071,AutoSMC + IQ-Mixup (Method 1)
28,1.330918,AutoSMC + IQ-Mixup (Method 1)
29,1.320400,AutoSMC + IQ-Mixup (Method 1)
30,1.312292,AutoSMC + IQ-Mixup (Method 1)
31,1.268537,AutoSMC + IQ-Mixup (Method 1)
32,1.279253,AutoSMC + IQ-Mixup (Method 1)
33,1.276315,AutoSMC + IQ-Mixup (Method 1)
34,1.288494,AutoSMC + IQ-Mixup (Method 1)
35,1.246267,AutoSMC + IQ-Mixup (Method 1)
36,1.224660,AutoSMC + IQ-Mixup (Method 1)
37,1.248000,AutoSMC + IQ-Mixup (Method 1)
38,1.252691,AutoSMC + IQ-Mixup (Method 1)
39,1.257411,AutoSMC + IQ-Mixup (Method 1)
40,1.254616,AutoSMC + IQ-Mixup (Method 1)
41,1.214841,AutoSMC + IQ-Mixup (Method 1)
42,1.232253,AutoSMC + IQ-Mixup (Method 1)
43,1.224507,AutoSMC + IQ-Mixup (Method 1)
44,1.222993,AutoSMC + IQ-Mixup (Method 1)
45,1.199681,AutoSMC + IQ-Mixup (Method 1)
46,1.190332,AutoSMC + IQ-Mixup (Method 1)
47,1.247948,AutoSMC + IQ-Mixup (Method 1)
48,1.211062,AutoSMC + IQ-Mixup (Method 1)
49,1.211667,AutoSMC + IQ-Mixup (Method 1)
50,1.208024,AutoSMC + IQ-Mixup (Method 1)
51,1.174712,AutoSMC + IQ-Mixup (Method 1)
52,1.199899,AutoSMC + IQ-Mixup (Method 1)
53,1.203414,AutoSMC + IQ-Mixup (Method 1)
54,1.190227,AutoSMC + IQ-Mixup (Method 1)
55,1.162994,AutoSMC + IQ-Mixup (Method 1)
56,1.177797,AutoSMC + IQ-Mixup (Method 1)
57,1.170021,AutoSMC + IQ-Mixup (Method 1)
58,1.186611,AutoSMC + IQ-Mixup (Method 1)
59,1.178485,AutoSMC + IQ-Mixup (Method 1)
60,1.204107,AutoSMC + IQ-Mixup (Method 1)
61,1.173830,AutoSMC + IQ-Mixup (Method 1)
62,1.167686,AutoSMC + IQ-Mixup (Method 1)
63,1.167155,AutoSMC + IQ-Mixup (Method 1)
64,1.149459,AutoSMC + IQ-Mixup (Method 1)
65,1.166417,AutoSMC + IQ-Mixup (Method 1)
66,1.170754,AutoSMC + IQ-Mixup (Method 1)
67,1.182001,AutoSMC + IQ-Mixup (Method 1)
68,1.161169,AutoSMC + IQ-Mixup (Method 1)
69,1.154835,AutoSMC + IQ-Mixup (Method 1)
70,1.168829,AutoSMC + IQ-Mixup (Method 1)
71,1.114502,AutoSMC + IQ-Mixup (Method 1)
72,1.165892,AutoSMC + IQ-Mixup (Method 1)
73,1.124841,AutoSMC + IQ-Mixup (Method 1)
74,1.130110,AutoSMC + IQ-Mixup (Method 1)
75,1.141053,AutoSMC + IQ-Mixup (Method 1)
76,1.124818,AutoSMC + IQ-Mixup (Method 1)
77,1.149078,AutoSMC + IQ-Mixup (Method 1)
78,1.153956,AutoSMC + IQ-Mixup (Method 1)
79,1.147040,AutoSMC + IQ-Mixup (Method 1)
80,1.156113,AutoSMC + IQ-Mixup (Method 1)
81,1.127973,AutoSMC + IQ-Mixup (Method 1)
82,1.153828,AutoSMC + IQ-Mixup (Method 1)
83,1.137394,AutoSMC + IQ-Mixup (Method 1)
84,1.122488,AutoSMC + IQ-Mixup (Method 1)
85,1.108217,AutoSMC + IQ-Mixup (Method 1)
86,1.156350,AutoSMC + IQ-Mixup (Method 1)
87,1.129318,AutoSMC + IQ-Mixup (Method 1)
88,1.107720,AutoSMC + IQ-Mixup (Method 1)
89,1.150464,AutoSMC + IQ-Mixup (Method 1)
90,1.132390,AutoSMC + IQ-Mixup (Method 1)
91,1.137392,AutoSMC + IQ-Mixup (Method 1)
92,1.135528,AutoSMC + IQ-Mixup (Method 1)
93,1.093064,AutoSMC + IQ-Mixup (Method 1)
94,1.124284,AutoSMC + IQ-Mixup (Method 1)
95,1.143095,AutoSMC + IQ-Mixup (Method 1)
96,1.123844,AutoSMC + IQ-Mixup (Method 1)
97,1.132936,AutoSMC + IQ-Mixup (Method 1)
98,1.130911,AutoSMC + IQ-Mixup (Method 1)
99,1.117629,AutoSMC + IQ-Mixup (Method 1)
100,1.133855,AutoSMC + IQ-Mixup (Method 1)
101,1.127586,AutoSMC + IQ-Mixup (Method 1)
102,1.131070,AutoSMC + IQ-Mixup (Method 1)
103,1.109113,AutoSMC + IQ-Mixup (Method 1)
104,1.135636,AutoSMC + IQ-Mixup (Method 1)
105,1.100142,AutoSMC + IQ-Mixup (Method 1)
106,1.098403,AutoSMC + IQ-Mixup (Method 1)
107,1.137214,AutoSMC + IQ-Mixup (Method 1)
108,1.123772,AutoSMC + IQ-Mixup (Method 1)
109,1.162649,AutoSMC + IQ-Mixup (Method 1)
110,1.116692,AutoSMC + IQ-Mixup (Method 1)
111,1.124985,AutoSMC + IQ-Mixup (Method 1)
112,1.134741,AutoSMC + IQ-Mixup (Method 1)
113,1.130868,AutoSMC + IQ-Mixup (Method 1)
114,1.097408,AutoSMC + IQ-Mixup (Method 1)
115,1.110054,AutoSMC + IQ-Mixup (Method 1)
116,1.103741,AutoSMC + IQ-Mixup (Method 1)
117,1.091268,AutoSMC + IQ-Mixup (Method 1)
118,1.150303,AutoSMC + IQ-Mixup (Method 1)
119,1.082758,AutoSMC + IQ-Mixup (Method 1)
120,1.106325,AutoSMC + IQ-Mixup (Method 1)
121,1.130290,AutoSMC + IQ-Mixup (Method 1)
122,1.143782,AutoSMC + IQ-Mixup (Method 1)
123,1.103181,AutoSMC + IQ-Mixup (Method 1)
124,1.121640,AutoSMC + IQ-Mixup (Method 1)
125,1.095422,AutoSMC + IQ-Mixup (Method 1)
126,1.107614,AutoSMC + IQ-Mixup (Method 1)
127,1.104261,AutoSMC + IQ-Mixup (Method 1)
128,1.108410,AutoSMC + IQ-Mixup (Method 1)
129,1.085783,AutoSMC + IQ-Mixup (Method 1)
130,1.110307,AutoSMC + IQ-Mixup (Method 1)
131,1.107960,AutoSMC + IQ-Mixup (Method 1)
132,1.081363,AutoSMC + IQ-Mixup (Method 1)
133,1.097472,AutoSMC + IQ-Mixup (Method 1)
134,1.110975,AutoSMC + IQ-Mixup (Method 1)
135,1.081204,AutoSMC + IQ-Mixup (Method 1)
136,1.116063,AutoSMC + IQ-Mixup (Method 1)
137,1.066780,AutoSMC + IQ-Mixup (Method 1)
138,1.102071,AutoSMC + IQ-Mixup (Method 1)
139,1.096674,AutoSMC + IQ-Mixup (Method 1)
140,1.123844,AutoSMC + IQ-Mixup (Method 1)
141,1.098267,AutoSMC + IQ-Mixup (Method 1)
142,1.083143,AutoSMC + IQ-Mixup (Method 1)
143,1.096517,AutoSMC + IQ-Mixup (Method 1)
144,1.098373,AutoSMC + IQ-Mixup (Method 1)
145,1.092284,AutoSMC + IQ-Mixup (Method 1)
146,1.096591,AutoSMC + IQ-Mixup (Method 1)
147,1.068523,AutoSMC + IQ-Mixup (Method 1)
148,1.095558,AutoSMC + IQ-Mixup (Method 1)
149,1.081680,AutoSMC + IQ-Mixup (Method 1)
150,1.091425,AutoSMC + IQ-Mixup (Method 1)
151,1.081163,AutoSMC + IQ-Mixup (Method 1)
152,1.105383,AutoSMC + IQ-Mixup (Method 1)
153,1.104520,AutoSMC + IQ-Mixup (Method 1)
154,1.097412,AutoSMC + IQ-Mixup (Method 1)
155,1.131960,AutoSMC + IQ-Mixup (Method 1)
156,1.084147,AutoSMC + IQ-Mixup (Method 1)
157,1.098423,AutoSMC + IQ-Mixup (Method 1)
