snr,seed,trial,epoch,loss,f1,lr,aug,timestamp
-6,-1,0,1,1.880790,0.015152,1.00e-03,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:58:58.030975
-6,-1,0,2,1.678828,0.015152,1.00e-03,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:59:18.823778
-6,-1,0,3,1.652931,0.015152,9.99e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:59:39.319790
-6,-1,0,4,1.625873,0.015177,9.98e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T00:59:59.777110
-6,-1,0,5,1.602551,0.078428,9.97e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:00:20.159175
-6,-1,0,6,1.572088,0.104023,9.96e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:00:40.673975
-6,-1,0,7,1.564430,0.368639,9.94e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:01:01.008391
-6,-1,0,8,1.543731,0.274125,9.92e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:01:21.176816
-6,-1,0,9,1.555209,0.404841,9.89e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:01:41.323796
-6,-1,0,10,1.527415,0.340382,9.86e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:02:01.514425
-6,-1,0,11,1.516482,0.577975,9.83e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:02:21.891184
-6,-1,0,12,1.495858,0.502892,9.80e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:02:42.281696
-6,-1,0,13,1.489492,0.406268,9.76e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:03:02.304156
-6,-1,0,14,1.470415,0.494514,9.72e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:03:22.153400
-6,-1,0,15,1.461358,0.415109,9.67e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:03:42.155007
-6,-1,0,16,1.453317,0.385697,9.62e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:04:02.188395
-6,-1,0,17,1.397498,0.508868,9.57e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:04:22.242048
-6,-1,0,18,1.415664,0.440201,9.52e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:04:42.346327
-6,-1,0,19,1.411515,0.458633,9.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:05:02.546956
-6,-1,0,20,1.377550,0.455928,9.40e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:05:22.590072
-6,-1,0,21,1.403487,0.494381,9.34e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:05:42.571874
-6,-1,0,22,1.376972,0.435075,9.27e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:06:02.595081
-6,-1,0,23,1.355198,0.502475,9.20e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:06:22.761642
-6,-1,0,24,1.326473,0.422109,9.13e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:06:42.542286
-6,-1,0,25,1.316252,0.485219,9.05e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:07:02.849461
-6,-1,0,26,1.313277,0.491848,8.98e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:07:23.090978
-6,-1,0,27,1.298274,0.488657,8.90e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:07:43.247266
-6,-1,0,28,1.305618,0.494433,8.81e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:08:03.276204
-6,-1,0,29,1.246760,0.472241,8.73e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:08:23.313785
-6,-1,0,30,1.270704,0.489683,8.64e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:08:43.550928
-6,-1,0,31,1.233296,0.543110,8.55e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:09:03.662788
-6,-1,0,32,1.259932,0.505970,8.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:09:23.894409
-6,-1,0,33,1.234467,0.497860,8.36e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:09:44.070140
-6,-1,0,34,1.244266,0.475951,8.26e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:10:04.203124
-6,-1,0,35,1.207642,0.489571,8.17e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:10:24.267677
-6,-1,0,36,1.217262,0.496812,8.06e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:10:44.262750
-6,-1,0,37,1.184053,0.439550,7.96e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:11:04.410398
-6,-1,0,38,1.178155,0.548588,7.85e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:11:24.292890
-6,-1,0,39,1.183468,0.446034,7.75e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:11:44.375402
-6,-1,0,40,1.160023,0.566081,7.64e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:12:04.234188
-6,-1,0,41,1.165236,0.537868,7.52e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:12:24.224628
-6,-1,0,42,1.143117,0.514819,7.41e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:12:44.115004
-6,-1,0,43,1.159491,0.450838,7.30e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:13:04.151734
-6,-1,0,44,1.128834,0.476317,7.18e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:13:24.391362
-6,-1,0,45,1.161199,0.511538,7.06e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:13:44.578531
-6,-1,0,46,1.168234,0.571686,6.94e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:14:04.464372
-6,-1,0,47,1.177306,0.443160,6.82e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:14:25.257729
-6,-1,0,48,1.150755,0.526250,6.70e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:14:45.707254
-6,-1,0,49,1.101143,0.558530,6.58e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:15:06.986843
-6,-1,0,50,1.166165,0.547268,6.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:15:27.695108
-6,-1,0,51,1.114105,0.517425,6.33e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:15:49.130429
-6,-1,0,52,1.148504,0.539241,6.21e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:16:10.198773
-6,-1,0,53,1.105153,0.538587,6.08e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:16:30.754132
-6,-1,0,54,1.130661,0.509346,5.95e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:16:51.595639
-6,-1,0,55,1.124781,0.537539,5.82e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:17:12.663455
-6,-1,0,56,1.120528,0.534950,5.70e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:17:33.099056
-6,-1,0,57,1.097537,0.507817,5.57e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:17:53.608330
-6,-1,0,58,1.105769,0.575844,5.44e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:18:14.073134
-6,-1,0,59,1.112963,0.574851,5.31e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:18:34.642551
