tsne1,tsne2,class_idx,class_name,aug,snr
10.8189,-9.7769,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-6
12.5711,-14.3984,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-6
6.1829,16.9042,5,GFSK,AutoSMC + IQ-Mixup (Method 1),-6
-26.5640,-42.9367,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-6
8.9929,-20.8772,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-6
-18.4664,32.4968,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-6
-4.3500,27.9596,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-6
-1.6640,-28.0848,6,PAM4,AutoSMC + IQ-Mixup (Method 1),-6
-3.9733,-18.9063,6,PAM4,AutoSMC + IQ-Mixup (Method 1),-6
-27.8357,34.5879,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-6
-25.1686,33.7062,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-6
11.4395,11.4006,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-6
-58.5518,-1.6909,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-6
-20.2497,-38.8348,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-6
30.9605,20.7908,5,GFSK,AutoSMC + IQ-Mixup (Method 1),-6
-21.0828,27.3463,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-6
-56.0573,-3.1119,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-6
-1.1913,-36.2128,6,PAM4,AutoSMC + IQ-Mixup (Method 1),-6
-19.5144,25.1762,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-6
10.8384,7.5141,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-6
4.5805,-9.6309,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-6
18.9608,-3.5093,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),-6
26.6886,9.2457,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-6
32.4009,9.1896,0,8PSK,AutoSMC + IQ-Mixup (Method 1),-6
-47.1071,-2.3374,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-6
34.8542,-7.3826,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),-6
15.5163,6.9166,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-6
23.4875,19.7599,0,8PSK,AutoSMC + IQ-Mixup (Method 1),-6
-24.0984,28.2604,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-6
13.7172,-4.5796,0,8PSK,AutoSMC + IQ-Mixup (Method 1),-6
-10.6432,18.9105,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-6
15.8545,-12.0314,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-6
-7.5791,-24.9727,6,PAM4,AutoSMC + IQ-Mixup (Method 1),-6
-23.0583,-44.6698,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-6
-28.4904,-42.6117,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-6
-26.9575,25.4114,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-6
-18.4824,20.7243,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-6
4.4752,13.2337,5,GFSK,AutoSMC + IQ-Mixup (Method 1),-6
-27.9855,-42.2287,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-6
-26.7188,-51.1627,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-6
23.1169,12.9761,0,8PSK,AutoSMC + IQ-Mixup (Method 1),-6
8.7822,-10.3882,9,QPSK,AutoSMC + IQ-Mixup (Method 1),-6
-28.4120,-48.6879,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-6
-30.8537,-46.6863,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-6
26.6055,-10.4972,0,8PSK,AutoSMC + IQ-Mixup (Method 1),-6
29.0678,16.7810,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),-6
-20.8738,10.4557,3,BPSK,AutoSMC + IQ-Mixup (Method 1),-6
-15.6822,16.3927,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-6
23.7612,17.5571,4,CPFSK,AutoSMC + IQ-Mixup (Method 1),-6
-46.1698,-4.4055,8,QAM64,AutoSMC + IQ-Mixup (Method 1),-6
-21.1686,-37.2218,7,QAM16,AutoSMC + IQ-Mixup (Method 1),-6
0.4959,-37.1767,6,PAM4,AutoSMC + IQ-Mixup (Method 1),-6
34.5273,-13.4441,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-6
-27.2977,35.2074,1,AM-DSB,AutoSMC + IQ-Mixup (Method 1),-6
29.4309,18.6444,2,AM-SSB,AutoSMC + IQ-Mixup (Method 1),-6
-21.8425,31.3861,10,WBFM,AutoSMC + IQ-Mixup (Method 1),-6
